est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
2.0,0.93,2,2,4,beta,mono_cut
40.0,0.44,2,1,3,pareto,mono_cut
50.0,0.5,1,1,0,ac,no_cut
14.0,0.6,2,1,3,pareto,mono_cut
36.0,0.61,1,2,2,pareto,no_cut
9.0,0.73,1,1,1,pareto,no_cut
11.0,0.69,2,2,4,pareto,non_mono_cut
11.0,0.69,2,2,4,pareto,no_cut
4.0,0.84,1,2,2,pareto,no_cut
13.0,0.72,1,1,1,beta,mono_cut
9.0,0.73,1,1,1,pareto,mono_cut
13.0,0.72,1,1,1,beta,no_cut
13.0,0.72,1,1,1,beta,non_mono_cut
0.0,1.0,2,2,4,beta,non_mono_cut
12.0,0.71,1,1,1,pareto,no_cut
21.0,0.6,2,2,4,pareto,mono_cut
2.0,0.93,2,2,4,beta,no_cut
26.0,0.63,1,1,1,beta,non_mono_cut
0.0,1.0,2,2,4,beta,mono_cut
15.0,0.71,2,1,3,beta,mono_cut
0.0,1.0,2,2,4,beta,no_cut
4.0,0.84,1,2,2,pareto,mono_cut
9.0,0.73,1,1,1,pareto,non_mono_cut
26.0,0.63,1,1,1,beta,mono_cut
40.0,0.56,1,1,0,ac,no_cut
11.0,0.69,2,2,4,pareto,mono_cut
36.0,0.61,1,2,2,pareto,mono_cut
14.0,0.76,1,2,2,beta,no_cut
25.0,0.49,2,1,3,beta,mono_cut
15.0,0.71,2,1,3,beta,no_cut
9.0,0.86,1,2,2,beta,no_cut
12.0,0.71,1,1,1,pareto,non_mono_cut
40.0,0.44,2,1,3,pareto,no_cut
14.0,0.76,1,2,2,beta,mono_cut
12.0,0.71,1,1,1,pareto,mono_cut
2.0,0.93,2,2,4,beta,non_mono_cut
21.0,0.6,2,2,4,pareto,no_cut
9.0,0.86,1,2,2,beta,mono_cut
25.0,0.49,2,1,3,beta,no_cut
14.0,0.6,2,1,3,pareto,no_cut
21.0,0.6,2,2,4,pareto,non_mono_cut
26.0,0.63,1,1,1,beta,no_cut
