est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
4,0.29,1.0,1.0,1,pareto,mono_cut
21,0.29,1.0,1.0,1,pareto,non_mono_cut
5,0.91,2.0,2.0,4,pareto,mono_cut
0,0.59,1.0,2.0,2,beta,no_cut
0,0.37,2.0,1.0,3,beta,no_cut
0,0.51,2.0,2.0,4,pareto,no_cut
5,0.37,2.0,1.0,3,beta,mono_cut
24,0.68,1.0,1.0,1,beta,non_mono_cut
6,0.92,1.0,1.0,1,pareto,mono_cut
0,0.86,1.0,1.0,1,beta,no_cut
0,0.91,2.0,2.0,4,pareto,no_cut
0,0.5,,,0,ac,no_cut
21,0.51,2.0,2.0,4,pareto,non_mono_cut
0,0.66,1.0,2.0,2,pareto,no_cut
0,0.3,2.0,2.0,4,beta,no_cut
21,0.68,1.0,1.0,1,beta,mono_cut
3,0.51,2.0,2.0,4,pareto,mono_cut
25,0.56,2.0,1.0,3,beta,mono_cut
15,0.52,2.0,1.0,3,pareto,mono_cut
6,0.66,1.0,2.0,2,pareto,mono_cut
7,0.77,1.0,2.0,2,pareto,mono_cut
0,0.29,1.0,1.0,1,pareto,no_cut
0,0.6,2.0,1.0,3,pareto,no_cut
30,0.78,2.0,2.0,4,beta,non_mono_cut
0,0.52,2.0,1.0,3,pareto,no_cut
21,0.92,1.0,1.0,1,pareto,non_mono_cut
0,0.92,1.0,1.0,1,pareto,no_cut
5,0.34,1.0,2.0,2,beta,mono_cut
18,0.6,2.0,1.0,3,pareto,mono_cut
0,0.77,1.0,2.0,2,pareto,no_cut
26,0.86,1.0,1.0,1,beta,non_mono_cut
3,0.3,2.0,2.0,4,beta,mono_cut
7,0.59,1.0,2.0,2,beta,mono_cut
0,0.68,1.0,1.0,1,beta,no_cut
17,0.78,2.0,2.0,4,beta,mono_cut
0,0.56,,,0,ac,no_cut
0,0.56,2.0,1.0,3,beta,no_cut
11,0.3,2.0,2.0,4,beta,non_mono_cut
0,0.34,1.0,2.0,2,beta,no_cut
17,0.86,1.0,1.0,1,beta,mono_cut
20,0.91,2.0,2.0,4,pareto,non_mono_cut
0,0.78,2.0,2.0,4,beta,no_cut
