pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,rel,dist,cut
171,1,21.0,70.0,2,1,3,beta,nc
171,2,38.0,57.99999999999999,2,2,4,beta,nmc
171,3,51.0,30.0,2,1,3,pareto,mc
171,4,35.0,51.0,1,2,2,pareto,mc
171,5,49.0,41.0,2,1,3,pareto,mc
171,6,38.0,57.99999999999999,2,2,4,beta,mc
171,7,37.0,56.99999999999999,2,1,3,beta,nc
171,8,50.0,50.0,1,1,0,ac,nc
171,9,20.0,74.0,2,2,4,beta,nc
171,10,28.0,44.0,1,1,1,pareto,mc
171,11,47.0,31.0,2,2,4,pareto,mc
171,12,28.0,44.0,1,1,1,pareto,nc
171,13,22.0,77.0,2,2,4,pareto,nmc
171,14,37.0,56.99999999999999,2,1,3,beta,mc
171,15,38.0,57.99999999999999,2,2,4,beta,nc
171,16,20.0,75.0,1,1,1,beta,mc
171,17,47.0,31.0,2,2,4,pareto,nc
171,18,18.0,53.0,1,2,2,pareto,nc
171,19,9.0,86.0,1,2,2,beta,mc
171,20,49.0,41.0,2,1,3,pareto,nc
171,21,28.0,44.0,1,1,1,pareto,nmc
171,22,29.0,66.0,1,1,1,beta,nmc
171,23,20.0,74.0,2,2,4,beta,nmc
171,24,57.0,34.0,1,1,1,pareto,mc
171,25,57.0,34.0,1,1,1,pareto,nmc
171,26,11.0,88.0,1,2,2,beta,nc
171,27,51.0,30.0,2,1,3,pareto,nc
171,28,21.0,70.0,2,1,3,beta,mc
171,29,20.0,75.0,1,1,1,beta,nc
171,30,18.0,53.0,1,2,2,pareto,mc
171,31,57.0,34.0,1,1,1,pareto,nc
171,32,29.0,66.0,1,1,1,beta,mc
171,33,35.0,51.0,1,2,2,pareto,nc
171,34,22.0,77.0,2,2,4,pareto,nc
171,35,20.0,74.0,2,2,4,beta,mc
171,36,29.0,66.0,1,1,1,beta,nc
171,37,47.0,31.0,2,2,4,pareto,nmc
171,38,40.0,56.00000000000001,1,1,0,ac,nc
171,39,9.0,86.0,1,2,2,beta,nc
171,40,22.0,77.0,2,2,4,pareto,mc
171,41,20.0,75.0,1,1,1,beta,nmc
171,42,11.0,88.0,1,2,2,beta,mc
