est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
0,0.87,1.0,2.0,2,pareto,no_cut
1,0.61,1.0,1.0,1,pareto,mono_cut
0,0.77,2.0,1.0,3,pareto,no_cut
16,0.43,2.0,2.0,4,pareto,non_mono_cut
0,0.5,,,0,ac,no_cut
22,0.86,2.0,2.0,4,beta,non_mono_cut
21,0.73,1.0,1.0,1,pareto,non_mono_cut
6,0.43,2.0,2.0,4,pareto,mono_cut
0,0.78,2.0,1.0,3,beta,no_cut
20,0.61,1.0,1.0,1,pareto,non_mono_cut
9,0.56,1.0,1.0,1,beta,mono_cut
0,0.56,1.0,1.0,1,beta,no_cut
8,0.51,2.0,2.0,4,pareto,mono_cut
0,0.96,1.0,1.0,1,beta,no_cut
0,0.86,2.0,2.0,4,beta,no_cut
0,0.51,2.0,2.0,4,pareto,no_cut
0,0.43,2.0,2.0,4,pareto,no_cut
0,0.39,1.0,2.0,2,pareto,no_cut
8,0.39,1.0,2.0,2,pareto,mono_cut
2,0.78,2.0,1.0,3,beta,mono_cut
29,0.88,1.0,2.0,2,beta,mono_cut
0,0.88,1.0,2.0,2,beta,no_cut
2,0.96,1.0,1.0,1,beta,mono_cut
28,0.66,1.0,2.0,2,beta,mono_cut
31,0.82,2.0,2.0,4,beta,non_mono_cut
0,0.82,2.0,2.0,4,beta,no_cut
19,0.73,1.0,1.0,1,pareto,mono_cut
20,0.51,2.0,2.0,4,pareto,non_mono_cut
13,0.78,2.0,1.0,3,beta,mono_cut
0,0.77,2.0,1.0,3,pareto,no_cut
3,0.86,2.0,2.0,4,beta,mono_cut
0,0.87,1.0,2.0,2,pareto,mono_cut
19,0.77,2.0,1.0,3,pareto,mono_cut
0,0.78,2.0,1.0,3,beta,no_cut
13,0.56,1.0,1.0,1,beta,non_mono_cut
0,0.56,,,0,ac,no_cut
0,0.61,1.0,1.0,1,pareto,no_cut
14,0.96,1.0,1.0,1,beta,non_mono_cut
0,0.66,1.0,2.0,2,beta,no_cut
5,0.77,2.0,1.0,3,pareto,mono_cut
19,0.82,2.0,2.0,4,beta,mono_cut
0,0.73,1.0,1.0,1,pareto,no_cut
