est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
27.0,0.45,1,1,1,pareto,no_cut
18.0,0.53,2,2,4,pareto,mono_cut
65.0,0.32,1,1,1,pareto,no_cut
7.0,0.89,1,2,2,beta,mono_cut
24.0,0.71,1,2,2,pareto,mono_cut
36.0,0.53,2,1,3,pareto,mono_cut
47.0,0.43,2,2,4,beta,mono_cut
50.0,0.5,1,1,0,ac,no_cut
36.0,0.57,2,2,4,pareto,non_mono_cut
15.0,0.69,2,2,4,beta,no_cut
18.0,0.63,1,1,1,beta,mono_cut
18.0,0.53,2,2,4,pareto,no_cut
65.0,0.32,1,1,1,pareto,non_mono_cut
12.0,0.64,1,2,2,beta,no_cut
37.0,0.39,1,2,2,pareto,mono_cut
36.0,0.57,2,2,4,pareto,no_cut
9.0,0.77,2,1,3,beta,no_cut
65.0,0.32,1,1,1,pareto,mono_cut
27.0,0.45,1,1,1,pareto,mono_cut
15.0,0.69,2,2,4,beta,mono_cut
7.0,0.89,1,2,2,beta,no_cut
58.0,0.27,1,1,1,beta,mono_cut
37.0,0.39,1,2,2,pareto,no_cut
18.0,0.69,2,1,3,beta,mono_cut
24.0,0.71,1,2,2,pareto,no_cut
18.0,0.63,1,1,1,beta,no_cut
17.0,0.8,2,1,3,pareto,no_cut
36.0,0.57,2,2,4,pareto,mono_cut
27.0,0.45,1,1,1,pareto,non_mono_cut
58.0,0.27,1,1,1,beta,non_mono_cut
47.0,0.43,2,2,4,beta,non_mono_cut
40.0,0.56,1,1,0,ac,no_cut
17.0,0.8,2,1,3,pareto,mono_cut
47.0,0.43,2,2,4,beta,no_cut
18.0,0.53,2,2,4,pareto,non_mono_cut
15.0,0.69,2,2,4,beta,non_mono_cut
36.0,0.53,2,1,3,pareto,no_cut
9.0,0.77,2,1,3,beta,mono_cut
58.0,0.27,1,1,1,beta,no_cut
18.0,0.63,1,1,1,beta,non_mono_cut
12.0,0.64,1,2,2,beta,mono_cut
18.0,0.69,2,1,3,beta,no_cut
