,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
0,27.0,0.45,1,1,1,pareto,no_cut
1,18.0,0.53,2,2,4,pareto,mono_cut
2,65.0,0.32,1,1,1,pareto,no_cut
3,7.0,0.89,1,2,2,beta,mono_cut
4,24.0,0.71,1,2,2,pareto,mono_cut
5,36.0,0.53,2,1,3,pareto,mono_cut
6,47.0,0.43,2,2,4,beta,mono_cut
7,50.0,0.5,1,1,0,ac,no_cut
8,36.0,0.57,2,2,4,pareto,non_mono_cut
9,15.0,0.69,2,2,4,beta,no_cut
10,18.0,0.63,1,1,1,beta,mono_cut
11,18.0,0.53,2,2,4,pareto,no_cut
12,65.0,0.32,1,1,1,pareto,non_mono_cut
13,12.0,0.64,1,2,2,beta,no_cut
14,37.0,0.39,1,2,2,pareto,mono_cut
15,36.0,0.57,2,2,4,pareto,no_cut
16,9.0,0.77,2,1,3,beta,no_cut
17,65.0,0.32,1,1,1,pareto,mono_cut
18,27.0,0.45,1,1,1,pareto,mono_cut
19,15.0,0.69,2,2,4,beta,mono_cut
20,7.0,0.89,1,2,2,beta,no_cut
21,58.0,0.27,1,1,1,beta,mono_cut
22,37.0,0.39,1,2,2,pareto,no_cut
23,18.0,0.69,2,1,3,beta,mono_cut
24,24.0,0.71,1,2,2,pareto,no_cut
25,18.0,0.63,1,1,1,beta,no_cut
26,17.0,0.8,2,1,3,pareto,no_cut
27,36.0,0.57,2,2,4,pareto,mono_cut
28,27.0,0.45,1,1,1,pareto,non_mono_cut
29,58.0,0.27,1,1,1,beta,non_mono_cut
30,47.0,0.43,2,2,4,beta,non_mono_cut
31,40.0,0.56,1,1,0,ac,no_cut
32,17.0,0.8,2,1,3,pareto,mono_cut
33,47.0,0.43,2,2,4,beta,no_cut
34,18.0,0.53,2,2,4,pareto,non_mono_cut
35,15.0,0.69,2,2,4,beta,non_mono_cut
36,36.0,0.53,2,1,3,pareto,no_cut
37,9.0,0.77,2,1,3,beta,mono_cut
38,58.0,0.27,1,1,1,beta,no_cut
39,18.0,0.63,1,1,1,beta,non_mono_cut
40,12.0,0.64,1,2,2,beta,mono_cut
41,18.0,0.69,2,1,3,beta,no_cut
