est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
6.0,0.9,2,1,3,beta,no_cut
15.0,0.73,2,2,4,beta,non_mono_cut
13.0,0.62,2,1,3,pareto,no_cut
13.0,0.62,2,1,3,pareto,mono_cut
3.0,0.93,1,1,1,pareto,mono_cut
2.0,0.95,1,1,1,beta,no_cut
2.0,0.91,1,1,1,pareto,mono_cut
5.0,0.88,2,2,4,beta,mono_cut
37.0,0.4,1,2,2,pareto,no_cut
5.0,0.88,2,2,4,beta,non_mono_cut
2.0,0.95,1,1,1,beta,mono_cut
2.0,0.91,1,1,1,pareto,non_mono_cut
16.0,0.76,1,2,2,beta,no_cut
50.0,0.5,1,1,0,ac,no_cut
37.0,0.4,1,2,2,pareto,mono_cut
2.0,0.91,1,1,1,pareto,no_cut
23.0,0.49,2,2,4,pareto,no_cut
6.0,0.86,1,1,1,beta,non_mono_cut
23.0,0.49,2,2,4,pareto,mono_cut
3.0,0.93,1,1,1,pareto,no_cut
28.0,0.61,1,2,2,pareto,mono_cut
6.0,0.86,1,1,1,beta,no_cut
4.0,0.84,2,2,4,pareto,non_mono_cut
15.0,0.73,2,2,4,beta,mono_cut
16.0,0.76,1,2,2,beta,mono_cut
23.0,0.49,2,2,4,pareto,non_mono_cut
40.0,0.56,1,1,0,ac,no_cut
6.0,0.9,2,1,3,beta,mono_cut
5.0,0.88,2,2,4,beta,no_cut
21.0,0.69,2,1,3,beta,mono_cut
15.0,0.71,1,2,2,beta,mono_cut
28.0,0.61,1,2,2,pareto,no_cut
16.0,0.64,2,1,3,pareto,no_cut
21.0,0.69,2,1,3,beta,no_cut
6.0,0.86,1,1,1,beta,mono_cut
4.0,0.84,2,2,4,pareto,no_cut
4.0,0.84,2,2,4,pareto,mono_cut
16.0,0.64,2,1,3,pareto,mono_cut
3.0,0.93,1,1,1,pareto,non_mono_cut
15.0,0.73,2,2,4,beta,no_cut
15.0,0.71,1,2,2,beta,no_cut
2.0,0.95,1,1,1,beta,non_mono_cut
