,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
0,6.0,0.9,2,1,3,beta,no_cut
1,15.0,0.73,2,2,4,beta,non_mono_cut
2,13.0,0.62,2,1,3,pareto,no_cut
3,13.0,0.62,2,1,3,pareto,mono_cut
4,3.0,0.93,1,1,1,pareto,mono_cut
5,2.0,0.95,1,1,1,beta,no_cut
6,2.0,0.91,1,1,1,pareto,mono_cut
7,5.0,0.88,2,2,4,beta,mono_cut
8,37.0,0.4,1,2,2,pareto,no_cut
9,5.0,0.88,2,2,4,beta,non_mono_cut
10,2.0,0.95,1,1,1,beta,mono_cut
11,2.0,0.91,1,1,1,pareto,non_mono_cut
12,16.0,0.76,1,2,2,beta,no_cut
13,50.0,0.5,1,1,0,ac,no_cut
14,37.0,0.4,1,2,2,pareto,mono_cut
15,2.0,0.91,1,1,1,pareto,no_cut
16,23.0,0.49,2,2,4,pareto,no_cut
17,6.0,0.86,1,1,1,beta,non_mono_cut
18,23.0,0.49,2,2,4,pareto,mono_cut
19,3.0,0.93,1,1,1,pareto,no_cut
20,28.0,0.61,1,2,2,pareto,mono_cut
21,6.0,0.86,1,1,1,beta,no_cut
22,4.0,0.84,2,2,4,pareto,non_mono_cut
23,15.0,0.73,2,2,4,beta,mono_cut
24,16.0,0.76,1,2,2,beta,mono_cut
25,23.0,0.49,2,2,4,pareto,non_mono_cut
26,40.0,0.56,1,1,0,ac,no_cut
27,6.0,0.9,2,1,3,beta,mono_cut
28,5.0,0.88,2,2,4,beta,no_cut
29,21.0,0.69,2,1,3,beta,mono_cut
30,15.0,0.71,1,2,2,beta,mono_cut
31,28.0,0.61,1,2,2,pareto,no_cut
32,16.0,0.64,2,1,3,pareto,no_cut
33,21.0,0.69,2,1,3,beta,no_cut
34,6.0,0.86,1,1,1,beta,mono_cut
35,4.0,0.84,2,2,4,pareto,no_cut
36,4.0,0.84,2,2,4,pareto,mono_cut
37,16.0,0.64,2,1,3,pareto,mono_cut
38,3.0,0.93,1,1,1,pareto,non_mono_cut
39,15.0,0.73,2,2,4,beta,no_cut
40,15.0,0.71,1,2,2,beta,no_cut
41,2.0,0.95,1,1,1,beta,non_mono_cut
