pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,rel,dist,cut
141,1,39.0,34.0,1,2,2,pareto,nc
141,2,61.0,34.0,1,2,2,pareto,mc
141,3,16.0,80.0,2,2,4,beta,nc
141,4,59.0,39.0,2,1,3,pareto,mc
141,5,50.0,50.0,1,1,0,ac,nc
141,6,14.0,83.0,1,1,1,beta,nmc
141,7,37.0,54.0,1,1,1,pareto,mc
141,8,16.0,80.0,1,1,1,beta,mc
141,9,27.0,71.0,1,2,2,beta,nc
141,10,16.0,80.0,2,2,4,beta,mc
141,11,27.0,71.0,1,2,2,beta,mc
141,12,16.0,80.0,1,1,1,beta,nc
141,13,59.0,39.0,2,1,3,pareto,nc
141,14,16.0,80.0,1,1,1,beta,nmc
141,15,24.0,59.0,1,1,1,pareto,nc
141,16,61.0,25.0,2,1,3,pareto,nc
141,17,37.0,54.0,1,1,1,pareto,nc
141,18,12.0,86.0,2,2,4,beta,nc
141,19,37.0,54.0,1,1,1,pareto,nmc
141,20,12.0,86.0,2,2,4,beta,nmc
141,21,22.0,69.0,1,2,2,beta,mc
141,22,61.0,34.0,1,2,2,pareto,nc
141,23,26.0,68.0,2,1,3,beta,mc
141,24,68.0,25.0,2,2,4,pareto,nmc
141,25,40.0,56.00000000000001,1,1,0,ac,nc
141,26,24.0,59.0,1,1,1,pareto,mc
141,27,61.0,25.0,2,1,3,pareto,mc
141,28,16.0,80.0,2,2,4,beta,nmc
141,29,43.0,35.0,2,2,4,pareto,mc
141,30,43.0,35.0,2,2,4,pareto,nc
141,31,24.0,59.0,1,1,1,pareto,nmc
141,32,14.0,83.0,1,1,1,beta,mc
141,33,43.0,35.0,2,2,4,pareto,nmc
141,34,26.0,68.0,2,1,3,beta,nc
141,35,14.0,83.0,1,1,1,beta,nc
141,36,68.0,25.0,2,2,4,pareto,mc
141,37,22.0,69.0,1,2,2,beta,nc
141,38,16.0,79.0,2,1,3,beta,nc
141,39,39.0,34.0,1,2,2,pareto,mc
141,40,12.0,86.0,2,2,4,beta,mc
141,41,16.0,79.0,2,1,3,beta,mc
141,42,68.0,25.0,2,2,4,pareto,nc
