pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
0,1,59.0,33.0,2,2,4,pareto,non_mono_cut
0,2,40.0,41.0,2,2,4,pareto,mono_cut
0,3,65.0,24.0,1,1,1,pareto,no_cut
0,4,65.0,24.0,1,1,1,pareto,non_mono_cut
0,5,59.0,31.0,1,2,2,pareto,no_cut
0,6,18.0,77.0,2,1,3,beta,mono_cut
0,7,46.0,52.0,2,1,3,pareto,mono_cut
0,8,23.0,71.0,1,2,2,beta,mono_cut
0,9,40.0,41.0,2,2,4,pareto,non_mono_cut
0,10,59.0,33.0,2,2,4,pareto,mono_cut
0,11,46.0,52.0,2,1,3,pareto,no_cut
0,12,40.0,41.0,2,2,4,pareto,no_cut
0,13,37.0,39.0,1,1,1,pareto,mono_cut
0,14,28.0,69.0,2,2,4,beta,mono_cut
0,15,42.0,49.0,2,2,4,beta,non_mono_cut
0,16,52.0,28.000000000000004,2,1,3,pareto,mono_cut
0,17,28.0,69.0,2,2,4,beta,no_cut
0,18,65.0,24.0,1,1,1,pareto,mono_cut
0,19,26.0,66.0,1,1,1,beta,non_mono_cut
0,20,42.0,49.0,2,2,4,beta,mono_cut
0,21,50.0,50.0,1,1,0,ac,no_cut
0,22,22.0,73.0,2,1,3,beta,mono_cut
0,23,28.0,69.0,2,2,4,beta,non_mono_cut
0,24,59.0,31.0,1,2,2,pareto,mono_cut
0,25,37.0,39.0,1,1,1,pareto,non_mono_cut
0,26,14.0,81.0,1,2,2,beta,mono_cut
0,27,26.0,66.0,1,1,1,beta,no_cut
0,28,18.0,78.0,1,1,1,beta,no_cut
0,29,14.0,81.0,1,2,2,beta,no_cut
0,30,18.0,78.0,1,1,1,beta,non_mono_cut
0,31,59.0,33.0,2,2,4,pareto,no_cut
0,32,40.0,56.00000000000001,1,1,0,ac,no_cut
0,33,37.0,39.0,1,1,1,pareto,no_cut
0,34,42.0,49.0,2,2,4,beta,no_cut
0,35,22.0,73.0,2,1,3,beta,no_cut
0,36,38.0,36.0,1,2,2,pareto,mono_cut
0,37,18.0,77.0,2,1,3,beta,no_cut
0,38,23.0,71.0,1,2,2,beta,no_cut
0,39,18.0,78.0,1,1,1,beta,mono_cut
0,40,26.0,66.0,1,1,1,beta,mono_cut
0,41,38.0,36.0,1,2,2,pareto,no_cut
0,42,52.0,28.000000000000004,2,1,3,pareto,no_cut
1,1,17.0,65.0,2,1,3,pareto,no_cut
1,2,73.0,27.0,2,2,4,pareto,non_mono_cut
1,3,22.0,73.0,1,1,1,beta,mono_cut
1,4,24.0,47.0,2,2,4,pareto,no_cut
1,5,19.0,54.0,1,1,1,pareto,non_mono_cut
1,6,61.0,34.0,1,2,2,pareto,no_cut
1,7,50.0,50.0,1,1,0,ac,no_cut
1,8,27.0,44.0,1,1,1,pareto,no_cut
1,9,26.0,68.0,2,2,4,beta,no_cut
1,10,30.0,61.0,1,2,2,beta,mono_cut
1,11,20.0,74.0,2,1,3,beta,mono_cut
1,12,73.0,27.0,2,2,4,pareto,no_cut
1,13,19.0,54.0,1,1,1,pareto,mono_cut
1,14,27.0,70.0,2,1,3,beta,mono_cut
1,15,38.0,50.0,1,2,2,pareto,mono_cut
1,16,73.0,27.0,2,2,4,pareto,mono_cut
1,17,15.0,83.0,2,2,4,beta,no_cut
1,18,13.0,83.0,1,1,1,beta,non_mono_cut
1,19,23.0,66.0,1,2,2,beta,no_cut
1,20,15.0,83.0,2,2,4,beta,non_mono_cut
1,21,75.0,23.0,2,1,3,pareto,no_cut
1,22,27.0,44.0,1,1,1,pareto,mono_cut
1,23,26.0,68.0,2,2,4,beta,non_mono_cut
1,24,38.0,50.0,1,2,2,pareto,no_cut
1,25,19.0,54.0,1,1,1,pareto,no_cut
1,26,15.0,83.0,2,2,4,beta,mono_cut
1,27,75.0,23.0,2,1,3,pareto,mono_cut
1,28,13.0,83.0,1,1,1,beta,mono_cut
1,29,24.0,47.0,2,2,4,pareto,non_mono_cut
1,30,40.0,56.00000000000001,1,1,0,ac,no_cut
1,31,27.0,44.0,1,1,1,pareto,non_mono_cut
1,32,20.0,74.0,2,1,3,beta,no_cut
1,33,30.0,61.0,1,2,2,beta,no_cut
1,34,22.0,73.0,1,1,1,beta,non_mono_cut
1,35,61.0,34.0,1,2,2,pareto,mono_cut
1,36,27.0,70.0,2,1,3,beta,no_cut
1,37,17.0,65.0,2,1,3,pareto,mono_cut
1,38,23.0,66.0,1,2,2,beta,mono_cut
1,39,22.0,73.0,1,1,1,beta,no_cut
1,40,13.0,83.0,1,1,1,beta,no_cut
1,41,26.0,68.0,2,2,4,beta,mono_cut
1,42,24.0,47.0,2,2,4,pareto,mono_cut
2,1,37.0,39.0,2,2,4,pareto,non_mono_cut
2,2,15.0,82.0,2,1,3,beta,mono_cut
2,3,52.0,32.0,1,1,1,pareto,no_cut
2,4,52.0,32.0,1,1,1,pareto,mono_cut
2,5,50.0,35.0,2,1,3,pareto,mono_cut
2,6,18.0,56.00000000000001,1,2,2,pareto,no_cut
2,7,21.0,74.0,2,2,4,beta,mono_cut
2,8,19.0,73.0,1,1,1,beta,non_mono_cut
2,9,27.0,69.0,1,1,1,beta,no_cut
2,10,19.0,77.0,1,2,2,beta,mono_cut
2,11,59.0,31.0,2,2,4,pareto,mono_cut
2,12,37.0,39.0,2,2,4,pareto,no_cut
2,13,14.0,83.0,2,2,4,beta,non_mono_cut
2,14,20.0,78.0,1,2,2,beta,mono_cut
2,15,50.0,50.0,1,1,0,ac,no_cut
2,16,19.0,77.0,1,2,2,beta,no_cut
2,17,20.0,78.0,1,2,2,beta,no_cut
2,18,62.0,24.0,2,1,3,pareto,mono_cut
2,19,14.0,83.0,2,2,4,beta,mono_cut
2,20,15.0,82.0,2,1,3,beta,no_cut
2,21,21.0,60.0,1,1,1,pareto,mono_cut
2,22,21.0,74.0,2,2,4,beta,no_cut
2,23,62.0,24.0,2,1,3,pareto,no_cut
2,24,21.0,74.0,2,2,4,beta,non_mono_cut
2,25,59.0,31.0,2,2,4,pareto,non_mono_cut
2,26,50.0,35.0,2,1,3,pareto,no_cut
2,27,19.0,73.0,1,1,1,beta,no_cut
2,28,37.0,39.0,2,2,4,pareto,mono_cut
2,29,67.0,27.0,1,2,2,pareto,no_cut
2,30,59.0,31.0,2,2,4,pareto,no_cut
2,31,67.0,27.0,1,2,2,pareto,mono_cut
2,32,21.0,60.0,1,1,1,pareto,non_mono_cut
2,33,27.0,69.0,1,1,1,beta,mono_cut
2,34,21.0,60.0,1,1,1,pareto,no_cut
2,35,14.0,83.0,2,2,4,beta,no_cut
2,36,52.0,32.0,1,1,1,pareto,non_mono_cut
2,37,18.0,56.00000000000001,1,2,2,pareto,mono_cut
2,38,27.0,69.0,1,1,1,beta,non_mono_cut
2,39,40.0,56.00000000000001,1,1,0,ac,no_cut
2,40,13.0,81.0,2,1,3,beta,no_cut
2,41,13.0,81.0,2,1,3,beta,mono_cut
2,42,19.0,73.0,1,1,1,beta,mono_cut
3,1,43.0,43.0,2,2,4,pareto,non_mono_cut
3,2,14.0,83.0,1,2,2,beta,no_cut
3,3,25.0,71.0,1,1,1,beta,non_mono_cut
3,4,18.0,79.0,2,1,3,beta,no_cut
3,5,51.0,28.999999999999996,1,1,1,pareto,no_cut
3,6,18.0,78.0,2,2,4,beta,no_cut
3,7,51.0,28.999999999999996,1,1,1,pareto,non_mono_cut
3,8,50.0,50.0,1,1,0,ac,no_cut
3,9,52.0,45.0,2,2,4,pareto,mono_cut
3,10,17.0,79.0,2,2,4,beta,no_cut
3,11,26.0,71.0,1,1,1,beta,no_cut
3,12,25.0,71.0,1,1,1,beta,mono_cut
3,13,14.0,85.0,2,1,3,beta,no_cut
3,14,14.0,83.0,1,2,2,beta,mono_cut
3,15,40.0,35.0,1,1,1,pareto,no_cut
3,16,62.0,28.000000000000004,2,1,3,pareto,mono_cut
3,17,43.0,43.0,2,2,4,pareto,mono_cut
3,18,14.0,78.0,1,2,2,pareto,mono_cut
3,19,40.0,35.0,1,1,1,pareto,non_mono_cut
3,20,17.0,79.0,2,2,4,beta,mono_cut
3,21,16.0,77.0,1,2,2,beta,no_cut
3,22,18.0,79.0,2,1,3,beta,mono_cut
3,23,26.0,71.0,1,1,1,beta,non_mono_cut
3,24,41.0,51.0,2,1,3,pareto,mono_cut
3,25,52.0,45.0,2,2,4,pareto,non_mono_cut
3,26,16.0,77.0,1,2,2,beta,mono_cut
3,27,40.0,35.0,1,1,1,pareto,mono_cut
3,28,41.0,51.0,2,1,3,pareto,no_cut
3,29,18.0,78.0,2,2,4,beta,non_mono_cut
3,30,14.0,85.0,2,1,3,beta,mono_cut
3,31,35.0,55.00000000000001,1,2,2,pareto,no_cut
3,32,14.0,78.0,1,2,2,pareto,no_cut
3,33,51.0,28.999999999999996,1,1,1,pareto,mono_cut
3,34,17.0,79.0,2,2,4,beta,non_mono_cut
3,35,40.0,56.00000000000001,1,1,0,ac,no_cut
3,36,62.0,28.000000000000004,2,1,3,pareto,no_cut
3,37,25.0,71.0,1,1,1,beta,no_cut
3,38,52.0,45.0,2,2,4,pareto,no_cut
3,39,18.0,78.0,2,2,4,beta,mono_cut
3,40,26.0,71.0,1,1,1,beta,mono_cut
3,41,43.0,43.0,2,2,4,pareto,no_cut
3,42,35.0,55.00000000000001,1,2,2,pareto,mono_cut
4,1,21.0,75.0,1,1,1,beta,non_mono_cut
4,2,14.0,82.0,2,2,4,beta,no_cut
4,3,50.0,43.0,1,1,1,pareto,non_mono_cut
4,4,22.0,56.00000000000001,2,2,4,pareto,mono_cut
4,5,20.0,74.0,1,2,2,beta,no_cut
4,6,50.0,50.0,1,1,0,ac,no_cut
4,7,50.0,28.999999999999996,2,2,4,pareto,no_cut
4,8,38.0,41.0,1,2,2,pareto,no_cut
4,9,44.0,38.0,1,2,2,pareto,mono_cut
4,10,76.0,22.0,2,1,3,pareto,no_cut
4,11,21.0,75.0,1,1,1,beta,mono_cut
4,12,27.0,69.0,2,1,3,beta,no_cut
4,13,22.0,73.0,2,2,4,beta,mono_cut
4,14,25.0,70.0,1,2,2,beta,mono_cut
4,15,44.0,38.0,1,2,2,pareto,no_cut
4,16,24.0,71.0,2,1,3,beta,mono_cut
4,17,22.0,56.00000000000001,2,2,4,pareto,no_cut
4,18,76.0,22.0,2,1,3,pareto,mono_cut
4,19,30.0,47.0,1,1,1,pareto,non_mono_cut
4,20,20.0,74.0,1,1,1,beta,non_mono_cut
4,21,22.0,73.0,2,2,4,beta,no_cut
4,22,62.0,28.000000000000004,2,1,3,pareto,mono_cut
4,23,27.0,69.0,2,1,3,beta,mono_cut
4,24,20.0,74.0,1,2,2,beta,mono_cut
4,25,14.0,82.0,2,2,4,beta,mono_cut
4,26,25.0,70.0,1,2,2,beta,no_cut
4,27,21.0,75.0,1,1,1,beta,no_cut
4,28,50.0,43.0,1,1,1,pareto,mono_cut
4,29,14.0,82.0,2,2,4,beta,non_mono_cut
4,30,22.0,56.00000000000001,2,2,4,pareto,non_mono_cut
4,31,50.0,28.999999999999996,2,2,4,pareto,non_mono_cut
4,32,20.0,74.0,1,1,1,beta,mono_cut
