est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
4,0.88,1.0,2.0,2,pareto,mono_cut
6,0.85,1.0,2.0,2,beta,mono_cut
1,0.94,2.0,1.0,3,beta,mono_cut
27,0.75,1.0,1.0,1,beta,non_mono_cut
18,0.91,2.0,2.0,4,pareto,non_mono_cut
0,0.94,2.0,1.0,3,beta,no_cut
7,0.82,2.0,2.0,4,beta,mono_cut
0,0.98,1.0,1.0,1,beta,no_cut
0,0.9,2.0,1.0,3,pareto,no_cut
5,0.95,1.0,1.0,1,pareto,mono_cut
14,0.91,2.0,2.0,4,pareto,mono_cut
0,0.5,,,0,ac,no_cut
28,0.82,2.0,2.0,4,beta,non_mono_cut
0,0.92,1.0,2.0,2,beta,no_cut
0,0.85,1.0,2.0,2,beta,no_cut
2,0.43,2.0,1.0,3,beta,mono_cut
0,0.52,2.0,2.0,4,beta,no_cut
0,0.82,2.0,2.0,4,beta,no_cut
16,0.92,1.0,2.0,2,beta,mono_cut
21,0.98,1.0,1.0,1,beta,mono_cut
25,0.98,1.0,1.0,1,beta,non_mono_cut
0,0.47,1.0,2.0,2,pareto,no_cut
0,0.9,1.0,1.0,1,pareto,no_cut
0,0.95,1.0,1.0,1,pareto,no_cut
0,0.91,2.0,2.0,4,pareto,no_cut
1,0.9,1.0,1.0,1,pareto,mono_cut
17,0.9,1.0,1.0,1,pareto,non_mono_cut
0,0.56,,,0,ac,no_cut
19,0.47,1.0,2.0,2,pareto,mono_cut
19,0.91,2.0,2.0,4,pareto,non_mono_cut
1,0.52,2.0,2.0,4,beta,mono_cut
13,0.75,1.0,1.0,1,beta,mono_cut
0,0.43,2.0,1.0,3,beta,no_cut
6,0.9,2.0,1.0,3,pareto,mono_cut
1,0.49,2.0,1.0,3,pareto,mono_cut
39,0.52,2.0,2.0,4,beta,non_mono_cut
0,0.49,2.0,1.0,3,pareto,no_cut
0,0.75,1.0,1.0,1,beta,no_cut
19,0.95,1.0,1.0,1,pareto,non_mono_cut
11,0.91,2.0,2.0,4,pareto,mono_cut
0,0.91,2.0,2.0,4,pareto,no_cut
0,0.88,1.0,2.0,2,pareto,no_cut
