,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
0,8.0,0.88,1,2,2,pareto,mono_cut
1,8.0,0.85,1,2,2,beta,mono_cut
2,3.0,0.94,2,1,3,beta,mono_cut
3,20.0,0.75,1,1,1,beta,non_mono_cut
4,2.0,0.91,2,2,4,pareto,non_mono_cut
5,3.0,0.94,2,1,3,beta,no_cut
6,8.0,0.82,2,2,4,beta,mono_cut
7,1.0,0.98,1,1,1,beta,no_cut
8,4.0,0.9,2,1,3,pareto,no_cut
9,5.0,0.95,1,1,1,pareto,mono_cut
10,2.0,0.91,2,2,4,pareto,mono_cut
11,50.0,0.5,1,1,0,ac,no_cut
12,8.0,0.82,2,2,4,beta,non_mono_cut
13,4.0,0.92,1,2,2,beta,no_cut
14,8.0,0.85,1,2,2,beta,no_cut
15,29.0,0.43,2,1,3,beta,mono_cut
16,39.0,0.52,2,2,4,beta,no_cut
17,8.0,0.82,2,2,4,beta,no_cut
18,4.0,0.92,1,2,2,beta,mono_cut
19,1.0,0.98,1,1,1,beta,mono_cut
20,1.0,0.98,1,1,1,beta,non_mono_cut
21,25.0,0.47,1,2,2,pareto,no_cut
22,3.0,0.9,1,1,1,pareto,no_cut
23,5.0,0.95,1,1,1,pareto,no_cut
24,2.0,0.91,2,2,4,pareto,no_cut
25,3.0,0.9,1,1,1,pareto,mono_cut
26,3.0,0.9,1,1,1,pareto,non_mono_cut
27,40.0,0.56,1,1,0,ac,no_cut
28,25.0,0.47,1,2,2,pareto,mono_cut
29,2.0,0.91,2,2,4,pareto,non_mono_cut
30,39.0,0.52,2,2,4,beta,mono_cut
31,20.0,0.75,1,1,1,beta,mono_cut
32,29.0,0.43,2,1,3,beta,no_cut
33,4.0,0.9,2,1,3,pareto,mono_cut
34,37.0,0.49,2,1,3,pareto,mono_cut
35,39.0,0.52,2,2,4,beta,non_mono_cut
36,37.0,0.49,2,1,3,pareto,no_cut
37,20.0,0.75,1,1,1,beta,no_cut
38,5.0,0.95,1,1,1,pareto,non_mono_cut
39,2.0,0.91,2,2,4,pareto,mono_cut
40,2.0,0.91,2,2,4,pareto,no_cut
41,8.0,0.88,1,2,2,pareto,no_cut
