pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,rel,dist,cut
189,1,21.0,51.0,1,2,2,pareto,mc
189,2,55.0,28.000000000000004,2,1,3,pareto,nc
189,3,20.0,75.0,1,2,2,beta,mc
189,4,67.0,32.0,1,2,2,pareto,nc
189,5,50.0,50.0,1,1,0,ac,nc
189,6,51.0,33.0,1,1,1,pareto,nc
189,7,55.0,28.000000000000004,2,1,3,pareto,mc
189,8,28.0,68.0,2,2,4,beta,mc
189,9,9.0,90.0,1,2,2,beta,nc
189,10,26.0,50.0,2,2,4,pareto,nc
189,11,20.0,76.0,1,1,1,beta,nc
189,12,16.0,80.0,2,1,3,beta,nc
189,13,20.0,76.0,1,1,1,beta,mc
189,14,28.0,68.0,2,2,4,beta,nmc
189,15,22.0,73.0,1,1,1,beta,mc
189,16,22.0,73.0,1,1,1,beta,nc
189,17,30.0,66.0,2,1,3,beta,mc
189,18,44.0,36.0,2,2,4,pareto,mc
189,19,16.0,80.0,2,1,3,beta,mc
189,20,42.0,34.0,2,1,3,pareto,nc
189,21,51.0,33.0,1,1,1,pareto,mc
189,22,42.0,34.0,2,1,3,pareto,mc
189,23,22.0,73.0,1,1,1,beta,nmc
189,24,40.0,56.00000000000001,1,1,0,ac,nc
189,25,68.0,24.0,1,1,1,pareto,mc
189,26,18.0,75.0,2,2,4,beta,nc
189,27,21.0,51.0,1,2,2,pareto,nc
189,28,18.0,75.0,2,2,4,beta,nmc
189,29,51.0,33.0,1,1,1,pareto,nmc
189,30,68.0,24.0,1,1,1,pareto,nmc
189,31,28.0,68.0,2,2,4,beta,nc
189,32,26.0,50.0,2,2,4,pareto,nmc
189,33,20.0,76.0,1,1,1,beta,nmc
189,34,44.0,36.0,2,2,4,pareto,nmc
189,35,26.0,50.0,2,2,4,pareto,mc
189,36,9.0,90.0,1,2,2,beta,mc
189,37,18.0,75.0,2,2,4,beta,mc
189,38,30.0,66.0,2,1,3,beta,nc
189,39,44.0,36.0,2,2,4,pareto,nc
189,40,20.0,75.0,1,2,2,beta,nc
189,41,68.0,24.0,1,1,1,pareto,nc
189,42,67.0,32.0,1,2,2,pareto,mc
