pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
16,1,12.0,85.0,2,2,4,beta,no_cut
16,2,54.0,34.0,1,2,2,pareto,no_cut
16,3,29.0,65.0,1,2,2,beta,mono_cut
16,4,20.0,75.0,1,1,1,beta,no_cut
16,5,29.0,67.0,1,1,1,beta,no_cut
16,6,33.0,39.0,1,2,2,pareto,no_cut
16,7,50.0,50.0,1,1,0,ac,no_cut
16,8,20.0,75.0,1,1,1,beta,non_mono_cut
16,9,12.0,85.0,2,2,4,beta,non_mono_cut
16,10,36.0,56.00000000000001,2,1,3,beta,no_cut
16,11,29.0,67.0,1,1,1,beta,non_mono_cut
16,12,15.0,78.0,2,1,3,beta,no_cut
16,13,16.0,59.0,2,1,3,pareto,mono_cut
16,14,58.0,32.0,2,2,4,pareto,non_mono_cut
16,15,33.0,39.0,1,2,2,pareto,mono_cut
16,16,22.0,73.0,1,2,2,beta,no_cut
16,17,49.0,36.0,1,1,1,pareto,mono_cut
16,18,15.0,78.0,2,1,3,beta,mono_cut
16,19,35.0,42.0,2,2,4,pareto,mono_cut
16,20,25.0,56.99999999999999,1,1,1,pareto,non_mono_cut
16,21,35.0,42.0,2,2,4,pareto,no_cut
16,22,27.0,67.0,2,2,4,beta,no_cut
16,23,49.0,36.0,1,1,1,pareto,no_cut
16,24,58.0,32.0,2,2,4,pareto,mono_cut
16,25,25.0,56.99999999999999,1,1,1,pareto,no_cut
16,26,25.0,56.99999999999999,1,1,1,pareto,mono_cut
16,27,27.0,67.0,2,2,4,beta,mono_cut
16,28,22.0,73.0,1,2,2,beta,mono_cut
16,29,27.0,67.0,2,2,4,beta,non_mono_cut
16,30,20.0,75.0,1,1,1,beta,mono_cut
16,31,60.0,25.0,2,1,3,pareto,mono_cut
16,32,58.0,32.0,2,2,4,pareto,no_cut
16,33,54.0,34.0,1,2,2,pareto,mono_cut
16,34,29.0,65.0,1,2,2,beta,no_cut
16,35,29.0,67.0,1,1,1,beta,mono_cut
16,36,49.0,36.0,1,1,1,pareto,non_mono_cut
16,37,16.0,59.0,2,1,3,pareto,no_cut
16,38,12.0,85.0,2,2,4,beta,mono_cut
16,39,60.0,25.0,2,1,3,pareto,no_cut
16,40,40.0,56.00000000000001,1,1,0,ac,no_cut
16,41,36.0,56.00000000000001,2,1,3,beta,mono_cut
16,42,35.0,42.0,2,2,4,pareto,non_mono_cut
