,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
0,12.0,0.82,2,2,4,beta,mono_cut
1,25.0,0.46,1,1,1,pareto,no_cut
2,34.0,0.51,1,1,1,beta,mono_cut
3,8.0,0.79,2,2,4,pareto,no_cut
4,34.0,0.51,1,1,1,beta,non_mono_cut
5,7.0,0.75,1,2,2,pareto,mono_cut
6,24.0,0.55,2,2,4,pareto,no_cut
7,50.0,0.5,1,1,0,ac,no_cut
8,14.0,0.6,1,1,1,pareto,no_cut
9,7.0,0.75,1,2,2,pareto,no_cut
10,24.0,0.55,2,2,4,pareto,mono_cut
11,7.0,0.88,1,2,2,beta,mono_cut
12,12.0,0.82,2,2,4,beta,no_cut
13,43.0,0.41,2,1,3,beta,mono_cut
14,8.0,0.79,2,2,4,pareto,mono_cut
15,13.0,0.76,1,1,1,beta,non_mono_cut
16,25.0,0.46,1,1,1,pareto,non_mono_cut
17,12.0,0.76,2,1,3,beta,mono_cut
18,18.0,0.65,2,2,4,beta,no_cut
19,4.0,0.93,1,2,2,beta,no_cut
20,24.0,0.55,2,2,4,pareto,non_mono_cut
21,15.0,0.58,1,2,2,pareto,mono_cut
22,18.0,0.65,2,2,4,beta,non_mono_cut
23,13.0,0.76,1,1,1,beta,no_cut
24,4.0,0.85,2,1,3,pareto,no_cut
25,13.0,0.76,1,1,1,beta,mono_cut
26,18.0,0.65,2,2,4,beta,mono_cut
27,12.0,0.82,2,2,4,beta,non_mono_cut
28,14.0,0.6,1,1,1,pareto,non_mono_cut
29,34.0,0.51,1,1,1,beta,no_cut
30,43.0,0.41,2,1,3,beta,no_cut
31,25.0,0.46,1,1,1,pareto,mono_cut
32,8.0,0.79,2,2,4,pareto,non_mono_cut
33,4.0,0.85,2,1,3,pareto,mono_cut
34,12.0,0.76,2,1,3,beta,no_cut
35,14.0,0.6,1,1,1,pareto,mono_cut
36,65.0,0.29,2,1,3,pareto,mono_cut
37,40.0,0.56,1,1,0,ac,no_cut
38,7.0,0.88,1,2,2,beta,no_cut
39,65.0,0.29,2,1,3,pareto,no_cut
40,4.0,0.93,1,2,2,beta,mono_cut
41,15.0,0.58,1,2,2,pareto,no_cut
