est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
12.0,0.82,2,2,4,beta,mono_cut
25.0,0.46,1,1,1,pareto,no_cut
34.0,0.51,1,1,1,beta,mono_cut
8.0,0.79,2,2,4,pareto,no_cut
34.0,0.51,1,1,1,beta,non_mono_cut
7.0,0.75,1,2,2,pareto,mono_cut
24.0,0.55,2,2,4,pareto,no_cut
50.0,0.5,1,1,0,ac,no_cut
14.0,0.6,1,1,1,pareto,no_cut
7.0,0.75,1,2,2,pareto,no_cut
24.0,0.55,2,2,4,pareto,mono_cut
7.0,0.88,1,2,2,beta,mono_cut
12.0,0.82,2,2,4,beta,no_cut
43.0,0.41,2,1,3,beta,mono_cut
8.0,0.79,2,2,4,pareto,mono_cut
13.0,0.76,1,1,1,beta,non_mono_cut
25.0,0.46,1,1,1,pareto,non_mono_cut
12.0,0.76,2,1,3,beta,mono_cut
18.0,0.65,2,2,4,beta,no_cut
4.0,0.93,1,2,2,beta,no_cut
24.0,0.55,2,2,4,pareto,non_mono_cut
15.0,0.58,1,2,2,pareto,mono_cut
18.0,0.65,2,2,4,beta,non_mono_cut
13.0,0.76,1,1,1,beta,no_cut
4.0,0.85,2,1,3,pareto,no_cut
13.0,0.76,1,1,1,beta,mono_cut
18.0,0.65,2,2,4,beta,mono_cut
12.0,0.82,2,2,4,beta,non_mono_cut
14.0,0.6,1,1,1,pareto,non_mono_cut
34.0,0.51,1,1,1,beta,no_cut
43.0,0.41,2,1,3,beta,no_cut
25.0,0.46,1,1,1,pareto,mono_cut
8.0,0.79,2,2,4,pareto,non_mono_cut
4.0,0.85,2,1,3,pareto,mono_cut
12.0,0.76,2,1,3,beta,no_cut
14.0,0.6,1,1,1,pareto,mono_cut
65.0,0.29,2,1,3,pareto,mono_cut
40.0,0.56,1,1,0,ac,no_cut
7.0,0.88,1,2,2,beta,no_cut
65.0,0.29,2,1,3,pareto,no_cut
4.0,0.93,1,2,2,beta,mono_cut
15.0,0.58,1,2,2,pareto,no_cut
