est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
7.0,0.86,1,2,2,beta,no_cut
33.0,0.47,2,2,4,beta,no_cut
9.0,0.86,2,2,4,pareto,no_cut
13.0,0.78,2,2,4,pareto,mono_cut
3.0,0.95,1,2,2,beta,no_cut
9.0,0.86,2,2,4,pareto,non_mono_cut
12.0,0.74,2,1,3,beta,no_cut
28.0,0.62,2,1,3,beta,no_cut
30.0,0.59,1,1,1,beta,non_mono_cut
22.0,0.68,2,2,4,beta,non_mono_cut
22.0,0.68,2,2,4,beta,no_cut
7.0,0.86,1,2,2,beta,mono_cut
18.0,0.62,2,1,3,pareto,no_cut
15.0,0.61,1,1,1,pareto,mono_cut
10.0,0.76,1,1,1,pareto,no_cut
13.0,0.78,2,2,4,pareto,no_cut
3.0,0.95,1,2,2,beta,mono_cut
33.0,0.47,2,2,4,beta,mono_cut
10.0,0.76,1,1,1,pareto,mono_cut
2.0,0.95,1,1,1,beta,non_mono_cut
50.0,0.5,1,1,0,ac,no_cut
15.0,0.61,1,1,1,pareto,non_mono_cut
23.0,0.51,2,1,3,pareto,no_cut
9.0,0.86,2,2,4,pareto,mono_cut
18.0,0.62,2,1,3,pareto,mono_cut
55.0,0.36,1,2,2,pareto,no_cut
15.0,0.61,1,1,1,pareto,no_cut
49.0,0.47,1,2,2,pareto,mono_cut
28.0,0.62,2,1,3,beta,mono_cut
33.0,0.47,2,2,4,beta,non_mono_cut
2.0,0.95,1,1,1,beta,mono_cut
13.0,0.78,2,2,4,pareto,non_mono_cut
49.0,0.47,1,2,2,pareto,no_cut
2.0,0.95,1,1,1,beta,no_cut
22.0,0.68,2,2,4,beta,mono_cut
40.0,0.56,1,1,0,ac,no_cut
30.0,0.59,1,1,1,beta,mono_cut
12.0,0.74,2,1,3,beta,mono_cut
10.0,0.76,1,1,1,pareto,non_mono_cut
30.0,0.59,1,1,1,beta,no_cut
23.0,0.51,2,1,3,pareto,mono_cut
55.0,0.36,1,2,2,pareto,mono_cut
