est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
16,0.92,1.0,2.0,2,pareto,mono_cut
0,0.5,,,0,ac,no_cut
12,0.77,1.0,1.0,1,beta,non_mono_cut
2,0.85,1.0,2.0,2,beta,mono_cut
0,0.53,1.0,1.0,1,beta,no_cut
10,0.53,1.0,1.0,1,beta,mono_cut
0,0.77,1.0,2.0,2,pareto,no_cut
0,0.77,1.0,1.0,1,beta,no_cut
9,0.96,2.0,2.0,4,beta,mono_cut
0,0.86,2.0,2.0,4,pareto,no_cut
7,0.72,1.0,1.0,1,pareto,mono_cut
0,0.56,1.0,2.0,2,beta,no_cut
1,0.94,2.0,2.0,4,pareto,mono_cut
25,0.96,2.0,2.0,4,beta,non_mono_cut
0,0.96,2.0,2.0,4,beta,no_cut
1,1.0,2.0,1.0,3,beta,mono_cut
0,0.27,2.0,1.0,3,pareto,no_cut
11,0.72,1.0,1.0,1,pareto,non_mono_cut
0,0.22,1.0,1.0,1,pareto,no_cut
0,0.79,2.0,1.0,3,pareto,no_cut
6,0.94,2.0,2.0,4,pareto,non_mono_cut
8,0.79,2.0,1.0,3,pareto,mono_cut
0,0.91,2.0,1.0,3,beta,no_cut
24,0.91,2.0,1.0,3,beta,mono_cut
3,0.22,1.0,1.0,1,pareto,mono_cut
0,0.81,2.0,2.0,4,beta,no_cut
0,0.85,1.0,2.0,2,beta,no_cut
11,0.81,2.0,2.0,4,beta,non_mono_cut
7,0.86,2.0,2.0,4,pareto,mono_cut
11,0.27,2.0,1.0,3,pareto,mono_cut
15,0.22,1.0,1.0,1,pareto,non_mono_cut
0,0.56,,,0,ac,no_cut
17,0.86,2.0,2.0,4,pareto,non_mono_cut
4,0.56,1.0,2.0,2,beta,mono_cut
0,0.72,1.0,1.0,1,pareto,no_cut
3,0.81,2.0,2.0,4,beta,mono_cut
6,0.77,1.0,1.0,1,beta,mono_cut
0,0.92,1.0,2.0,2,pareto,no_cut
0,0.94,2.0,2.0,4,pareto,no_cut
12,0.77,1.0,2.0,2,pareto,mono_cut
22,0.53,1.0,1.0,1,beta,non_mono_cut
0,1.0,2.0,1.0,3,beta,no_cut
