,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
0,5.0,0.92,1,2,2,pareto,mono_cut
1,50.0,0.5,1,1,0,ac,no_cut
2,14.0,0.77,1,1,1,beta,non_mono_cut
3,11.0,0.85,1,2,2,beta,mono_cut
4,20.0,0.53,1,1,1,beta,no_cut
5,20.0,0.53,1,1,1,beta,mono_cut
6,7.0,0.77,1,2,2,pareto,no_cut
7,14.0,0.77,1,1,1,beta,no_cut
8,1.0,0.96,2,2,4,beta,mono_cut
9,8.0,0.86,2,2,4,pareto,no_cut
10,10.0,0.72,1,1,1,pareto,mono_cut
11,15.0,0.56,1,2,2,beta,no_cut
12,2.0,0.94,2,2,4,pareto,mono_cut
13,1.0,0.96,2,2,4,beta,non_mono_cut
14,1.0,0.96,2,2,4,beta,no_cut
15,0.0,1.0,2,1,3,beta,mono_cut
16,62.0,0.27,2,1,3,pareto,no_cut
17,10.0,0.72,1,1,1,pareto,non_mono_cut
18,73.0,0.22,1,1,1,pareto,no_cut
19,6.0,0.79,2,1,3,pareto,no_cut
20,2.0,0.94,2,2,4,pareto,non_mono_cut
21,6.0,0.79,2,1,3,pareto,mono_cut
22,6.0,0.91,2,1,3,beta,no_cut
23,6.0,0.91,2,1,3,beta,mono_cut
24,73.0,0.22,1,1,1,pareto,mono_cut
25,11.0,0.81,2,2,4,beta,no_cut
26,11.0,0.85,1,2,2,beta,no_cut
27,11.0,0.81,2,2,4,beta,non_mono_cut
28,8.0,0.86,2,2,4,pareto,mono_cut
29,62.0,0.27,2,1,3,pareto,mono_cut
30,73.0,0.22,1,1,1,pareto,non_mono_cut
31,40.0,0.56,1,1,0,ac,no_cut
32,8.0,0.86,2,2,4,pareto,non_mono_cut
33,15.0,0.56,1,2,2,beta,mono_cut
34,10.0,0.72,1,1,1,pareto,no_cut
35,11.0,0.81,2,2,4,beta,mono_cut
36,14.0,0.77,1,1,1,beta,mono_cut
37,5.0,0.92,1,2,2,pareto,no_cut
38,2.0,0.94,2,2,4,pareto,no_cut
39,7.0,0.77,1,2,2,pareto,mono_cut
40,20.0,0.53,1,1,1,beta,non_mono_cut
41,0.0,1.0,2,1,3,beta,no_cut
