pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,rel,dist,cut
5,1,22.0,72.0,2,1,3,beta,nc
5,2,50.0,50.0,1,1,0,ac,nc
5,3,38.0,62.0,2,1,3,pareto,mc
5,4,68.0,28.999999999999996,1,2,2,pareto,mc
5,5,57.0,28.000000000000004,2,2,4,pareto,nmc
5,6,38.0,62.0,2,1,3,pareto,nc
5,7,17.0,74.0,1,2,2,beta,nc
5,8,31.0,61.0,2,1,3,beta,nc
5,9,60.0,27.0,1,1,1,pareto,nc
5,10,33.0,43.0,2,2,4,pareto,nmc
5,11,24.0,49.0,1,1,1,pareto,nmc
5,12,33.0,43.0,2,2,4,pareto,nc
5,13,18.0,80.0,2,2,4,beta,mc
5,14,30.0,68.0,1,2,2,beta,mc
5,15,18.0,80.0,2,2,4,beta,nc
5,16,57.0,28.000000000000004,2,2,4,pareto,nc
5,17,44.0,32.0,1,2,2,pareto,mc
5,18,17.0,74.0,1,2,2,beta,mc
5,19,24.0,49.0,1,1,1,pareto,nc
5,20,57.0,37.0,2,1,3,pareto,mc
5,21,18.0,80.0,2,2,4,beta,nmc
5,22,18.0,81.0,1,1,1,beta,nc
5,23,23.0,74.0,1,1,1,beta,nmc
5,24,31.0,61.0,2,1,3,beta,mc
5,25,24.0,49.0,1,1,1,pareto,mc
5,26,23.0,74.0,1,1,1,beta,nc
5,27,22.0,72.0,2,1,3,beta,mc
5,28,29.0,69.0,2,2,4,beta,mc
5,29,40.0,56.00000000000001,1,1,0,ac,nc
5,30,33.0,43.0,2,2,4,pareto,mc
5,31,18.0,81.0,1,1,1,beta,mc
5,32,23.0,74.0,1,1,1,beta,mc
5,33,29.0,69.0,2,2,4,beta,nmc
5,34,30.0,68.0,1,2,2,beta,nc
5,35,29.0,69.0,2,2,4,beta,nc
5,36,44.0,32.0,1,2,2,pareto,nc
5,37,57.0,37.0,2,1,3,pareto,nc
5,38,18.0,81.0,1,1,1,beta,nmc
5,39,68.0,28.999999999999996,1,2,2,pareto,nc
5,40,60.0,27.0,1,1,1,pareto,nmc
5,41,60.0,27.0,1,1,1,pareto,mc
5,42,57.0,28.000000000000004,2,2,4,pareto,mc
