est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
27.0,0.64,1,2,2,beta,no_cut
14.0,0.74,2,1,3,beta,mono_cut
0.0,1.0,2,2,4,pareto,no_cut
27.0,0.64,1,2,2,beta,mono_cut
38.0,0.42,1,1,1,beta,non_mono_cut
5.0,0.89,2,2,4,beta,non_mono_cut
22.0,0.49,1,1,1,pareto,no_cut
64.0,0.33,2,2,4,pareto,no_cut
1.0,0.97,2,1,3,pareto,mono_cut
4.0,0.93,1,1,1,beta,mono_cut
19.0,0.57,2,1,3,pareto,no_cut
14.0,0.74,2,1,3,beta,no_cut
22.0,0.49,1,1,1,pareto,non_mono_cut
64.0,0.33,2,2,4,pareto,non_mono_cut
22.0,0.49,1,1,1,pareto,mono_cut
1.0,0.97,2,1,3,pareto,no_cut
0.0,1.0,2,2,4,pareto,mono_cut
64.0,0.33,2,2,4,pareto,mono_cut
4.0,0.93,1,1,1,beta,non_mono_cut
50.0,0.5,1,1,0,ac,no_cut
5.0,0.89,2,2,4,beta,no_cut
4.0,0.93,1,1,1,beta,no_cut
47.0,0.34,1,1,1,pareto,no_cut
37.0,0.52,2,2,4,beta,non_mono_cut
47.0,0.34,1,1,1,pareto,non_mono_cut
40.0,0.56,1,1,0,ac,no_cut
38.0,0.42,1,1,1,beta,mono_cut
19.0,0.65,1,2,2,pareto,no_cut
7.0,0.86,1,2,2,beta,no_cut
5.0,0.92,2,1,3,beta,no_cut
18.0,0.54,1,2,2,pareto,mono_cut
19.0,0.57,2,1,3,pareto,mono_cut
18.0,0.54,1,2,2,pareto,no_cut
5.0,0.89,2,2,4,beta,mono_cut
19.0,0.65,1,2,2,pareto,mono_cut
47.0,0.34,1,1,1,pareto,mono_cut
5.0,0.92,2,1,3,beta,mono_cut
38.0,0.42,1,1,1,beta,no_cut
7.0,0.86,1,2,2,beta,mono_cut
0.0,1.0,2,2,4,pareto,non_mono_cut
37.0,0.52,2,2,4,beta,mono_cut
37.0,0.52,2,2,4,beta,no_cut
