,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
0,27.0,0.64,1,2,2,beta,no_cut
1,14.0,0.74,2,1,3,beta,mono_cut
2,0.0,1.0,2,2,4,pareto,no_cut
3,27.0,0.64,1,2,2,beta,mono_cut
4,38.0,0.42,1,1,1,beta,non_mono_cut
5,5.0,0.89,2,2,4,beta,non_mono_cut
6,22.0,0.49,1,1,1,pareto,no_cut
7,64.0,0.33,2,2,4,pareto,no_cut
8,1.0,0.97,2,1,3,pareto,mono_cut
9,4.0,0.93,1,1,1,beta,mono_cut
10,19.0,0.57,2,1,3,pareto,no_cut
11,14.0,0.74,2,1,3,beta,no_cut
12,22.0,0.49,1,1,1,pareto,non_mono_cut
13,64.0,0.33,2,2,4,pareto,non_mono_cut
14,22.0,0.49,1,1,1,pareto,mono_cut
15,1.0,0.97,2,1,3,pareto,no_cut
16,0.0,1.0,2,2,4,pareto,mono_cut
17,64.0,0.33,2,2,4,pareto,mono_cut
18,4.0,0.93,1,1,1,beta,non_mono_cut
19,50.0,0.5,1,1,0,ac,no_cut
20,5.0,0.89,2,2,4,beta,no_cut
21,4.0,0.93,1,1,1,beta,no_cut
22,47.0,0.34,1,1,1,pareto,no_cut
23,37.0,0.52,2,2,4,beta,non_mono_cut
24,47.0,0.34,1,1,1,pareto,non_mono_cut
25,40.0,0.56,1,1,0,ac,no_cut
26,38.0,0.42,1,1,1,beta,mono_cut
27,19.0,0.65,1,2,2,pareto,no_cut
28,7.0,0.86,1,2,2,beta,no_cut
29,5.0,0.92,2,1,3,beta,no_cut
30,18.0,0.54,1,2,2,pareto,mono_cut
31,19.0,0.57,2,1,3,pareto,mono_cut
32,18.0,0.54,1,2,2,pareto,no_cut
33,5.0,0.89,2,2,4,beta,mono_cut
34,19.0,0.65,1,2,2,pareto,mono_cut
35,47.0,0.34,1,1,1,pareto,mono_cut
36,5.0,0.92,2,1,3,beta,mono_cut
37,38.0,0.42,1,1,1,beta,no_cut
38,7.0,0.86,1,2,2,beta,mono_cut
39,0.0,1.0,2,2,4,pareto,non_mono_cut
40,37.0,0.52,2,2,4,beta,mono_cut
41,37.0,0.52,2,2,4,beta,no_cut
