pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,rel,dist,cut
166,1,45.0,45.0,2,1,3,pareto,nc
166,2,51.0,28.000000000000004,2,1,3,pareto,nc
166,3,27.0,68.0,1,1,1,beta,nc
166,4,21.0,69.0,2,1,3,beta,nc
166,5,71.0,23.0,2,2,4,pareto,nc
166,6,44.0,33.0,1,2,2,pareto,nc
166,7,56.0,36.0,1,1,1,pareto,mc
166,8,45.0,45.0,2,1,3,pareto,mc
166,9,64.0,27.0,1,2,2,pareto,mc
166,10,26.0,71.0,1,1,1,beta,nmc
166,11,67.0,26.0,1,1,1,pareto,nmc
166,12,67.0,26.0,1,1,1,pareto,mc
166,13,30.0,68.0,2,2,4,beta,nc
166,14,38.0,42.0,2,2,4,pareto,mc
166,15,27.0,67.0,1,2,2,beta,nc
166,16,51.0,28.000000000000004,2,1,3,pareto,mc
166,17,71.0,23.0,2,2,4,pareto,nmc
166,18,30.0,68.0,2,2,4,beta,mc
166,19,71.0,23.0,2,2,4,pareto,mc
166,20,20.0,75.0,2,2,4,beta,mc
166,21,50.0,50.0,1,1,0,ac,nc
166,22,33.0,59.0,1,2,2,beta,mc
166,23,26.0,71.0,1,1,1,beta,mc
166,24,20.0,75.0,2,2,4,beta,nmc
166,25,56.0,36.0,1,1,1,pareto,nmc
166,26,20.0,75.0,2,2,4,beta,nc
166,27,67.0,26.0,1,1,1,pareto,nc
166,28,21.0,69.0,2,1,3,beta,mc
166,29,37.0,60.0,2,1,3,beta,nc
166,30,27.0,67.0,1,2,2,beta,mc
166,31,37.0,60.0,2,1,3,beta,mc
166,32,44.0,33.0,1,2,2,pareto,mc
166,33,40.0,56.00000000000001,1,1,0,ac,nc
166,34,27.0,68.0,1,1,1,beta,mc
166,35,33.0,59.0,1,2,2,beta,nc
166,36,38.0,42.0,2,2,4,pareto,nmc
166,37,56.0,36.0,1,1,1,pareto,nc
166,38,64.0,27.0,1,2,2,pareto,nc
166,39,38.0,42.0,2,2,4,pareto,nc
166,40,30.0,68.0,2,2,4,beta,nmc
166,41,27.0,68.0,1,1,1,beta,nmc
166,42,26.0,71.0,1,1,1,beta,nc
