pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,rel,dist,cut
63,1,30.0,67.0,1,2,2,beta,nc
63,2,59.0,31.0,1,1,1,pareto,mc
63,3,50.0,50.0,1,1,0,ac,nc
63,4,20.0,74.0,1,1,1,beta,nc
63,5,15.0,78.0,1,2,2,beta,mc
63,6,41.0,56.99999999999999,2,2,4,pareto,nc
63,7,12.0,86.0,2,2,4,beta,nmc
63,8,11.0,83.0,1,1,1,beta,mc
63,9,49.0,36.0,1,1,1,pareto,nmc
63,10,13.0,85.0,2,2,4,beta,mc
63,11,49.0,36.0,1,1,1,pareto,nc
63,12,29.0,60.0,2,1,3,beta,mc
63,13,49.0,36.0,1,1,1,pareto,mc
63,14,11.0,83.0,1,1,1,beta,nmc
63,15,59.0,31.0,1,1,1,pareto,nc
63,16,20.0,74.0,1,1,1,beta,nmc
63,17,72.0,22.0,2,1,3,pareto,mc
63,18,22.0,72.0,2,1,3,beta,nc
63,19,45.0,43.0,2,2,4,pareto,mc
63,20,59.0,30.0,2,1,3,pareto,nc
63,21,13.0,85.0,2,2,4,beta,nc
63,22,77.0,21.0,1,2,2,pareto,nc
63,23,72.0,22.0,2,1,3,pareto,nc
63,24,13.0,85.0,2,2,4,beta,nmc
63,25,30.0,67.0,1,2,2,beta,mc
63,26,11.0,83.0,1,1,1,beta,nc
63,27,77.0,21.0,1,2,2,pareto,mc
63,28,45.0,43.0,2,2,4,pareto,nmc
63,29,22.0,72.0,2,1,3,beta,mc
63,30,29.0,60.0,2,1,3,beta,nc
63,31,41.0,56.99999999999999,2,2,4,pareto,nmc
63,32,40.0,56.00000000000001,1,1,0,ac,nc
63,33,59.0,30.0,2,1,3,pareto,mc
63,34,20.0,74.0,1,1,1,beta,mc
63,35,28.0,71.0,1,2,2,pareto,mc
63,36,45.0,43.0,2,2,4,pareto,nc
63,37,59.0,31.0,1,1,1,pareto,nmc
63,38,15.0,78.0,1,2,2,beta,nc
63,39,12.0,86.0,2,2,4,beta,mc
63,40,28.0,71.0,1,2,2,pareto,nc
63,41,12.0,86.0,2,2,4,beta,nc
63,42,41.0,56.99999999999999,2,2,4,pareto,mc
