pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,rel,dist,cut
66,1,41.0,40.0,2,1,3,pareto,mc
66,2,42.0,40.0,2,2,4,pareto,nc
66,3,23.0,74.0,2,2,4,beta,nmc
66,4,41.0,40.0,2,1,3,pareto,nc
66,5,68.0,31.0,1,1,1,pareto,nmc
66,6,37.0,56.99999999999999,1,1,1,beta,nmc
66,7,23.0,50.0,1,2,2,pareto,nc
66,8,19.0,77.0,2,2,4,beta,nc
66,9,31.0,64.0,1,2,2,beta,mc
66,10,23.0,74.0,2,2,4,beta,mc
66,11,42.0,40.0,2,2,4,pareto,nmc
66,12,23.0,74.0,2,2,4,beta,nc
66,13,19.0,74.0,2,1,3,beta,mc
66,14,53.0,27.0,1,2,2,pareto,nc
66,15,53.0,27.0,1,2,2,pareto,mc
66,16,19.0,74.0,2,1,3,beta,nc
66,17,68.0,31.0,1,1,1,pareto,mc
66,18,30.0,65.0,1,1,1,beta,nc
66,19,36.0,46.0,2,2,4,pareto,nmc
66,20,24.0,72.0,2,1,3,beta,nc
66,21,50.0,50.0,1,1,0,ac,nc
66,22,70.0,26.0,1,1,1,pareto,nc
66,23,31.0,64.0,1,2,2,beta,nc
66,24,32.0,60.0,1,2,2,beta,mc
66,25,23.0,50.0,1,2,2,pareto,mc
66,26,36.0,46.0,2,2,4,pareto,mc
66,27,22.0,50.0,2,1,3,pareto,mc
66,28,36.0,46.0,2,2,4,pareto,nc
66,29,30.0,65.0,1,1,1,beta,mc
66,30,68.0,31.0,1,1,1,pareto,nc
66,31,30.0,65.0,1,1,1,beta,nmc
66,32,19.0,77.0,2,2,4,beta,nmc
66,33,32.0,60.0,1,2,2,beta,nc
66,34,37.0,56.99999999999999,1,1,1,beta,mc
66,35,24.0,72.0,2,1,3,beta,mc
66,36,42.0,40.0,2,2,4,pareto,mc
66,37,70.0,26.0,1,1,1,pareto,mc
66,38,37.0,56.99999999999999,1,1,1,beta,nc
66,39,40.0,56.00000000000001,1,1,0,ac,nc
66,40,22.0,50.0,2,1,3,pareto,nc
66,41,70.0,26.0,1,1,1,pareto,nmc
66,42,19.0,77.0,2,2,4,beta,mc
