,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
0,24.0,0.62,1,2,2,beta,mono_cut
1,19.0,0.56,1,2,2,pareto,mono_cut
2,47.0,0.4,2,2,4,pareto,mono_cut
3,24.0,0.62,1,2,2,beta,no_cut
4,12.0,0.64,2,1,3,beta,no_cut
5,52.0,0.32,2,2,4,pareto,no_cut
6,19.0,0.74,1,1,1,beta,non_mono_cut
7,8.0,0.73,2,1,3,pareto,no_cut
8,18.0,0.69,2,1,3,beta,mono_cut
9,11.0,0.69,2,1,3,pareto,mono_cut
10,56.0,0.32,1,1,1,pareto,no_cut
11,50.0,0.5,1,1,0,ac,no_cut
12,25.0,0.68,1,1,1,beta,no_cut
13,47.0,0.4,2,2,4,pareto,no_cut
14,52.0,0.32,2,2,4,pareto,mono_cut
15,19.0,0.56,1,2,2,pareto,no_cut
16,35.0,0.46,1,2,2,pareto,mono_cut
17,18.0,0.69,2,1,3,beta,no_cut
18,11.0,0.69,2,1,3,pareto,no_cut
19,52.0,0.32,2,2,4,pareto,non_mono_cut
20,19.0,0.74,1,1,1,beta,mono_cut
21,15.0,0.69,2,2,4,beta,non_mono_cut
22,7.0,0.82,1,1,1,pareto,no_cut
23,19.0,0.74,1,1,1,beta,no_cut
24,7.0,0.82,1,1,1,pareto,non_mono_cut
25,12.0,0.64,2,1,3,beta,mono_cut
26,15.0,0.69,2,2,4,beta,mono_cut
27,7.0,0.82,1,1,1,pareto,mono_cut
28,15.0,0.69,2,2,4,beta,no_cut
29,47.0,0.4,2,2,4,pareto,non_mono_cut
30,3.0,0.93,2,2,4,beta,no_cut
31,3.0,0.93,2,2,4,beta,mono_cut
32,25.0,0.68,1,1,1,beta,non_mono_cut
33,25.0,0.68,1,1,1,beta,mono_cut
34,35.0,0.46,1,2,2,pareto,no_cut
35,6.0,0.89,1,2,2,beta,no_cut
36,3.0,0.93,2,2,4,beta,non_mono_cut
37,56.0,0.32,1,1,1,pareto,mono_cut
38,6.0,0.89,1,2,2,beta,mono_cut
39,8.0,0.73,2,1,3,pareto,mono_cut
40,56.0,0.32,1,1,1,pareto,non_mono_cut
41,40.0,0.56,1,1,0,ac,no_cut
