est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
4,0.62,1.0,2.0,2,beta,mono_cut
16,0.56,1.0,2.0,2,pareto,mono_cut
3,0.4,2.0,2.0,4,pareto,mono_cut
0,0.62,1.0,2.0,2,beta,no_cut
0,0.64,2.0,1.0,3,beta,no_cut
0,0.32,2.0,2.0,4,pareto,no_cut
27,0.74,1.0,1.0,1,beta,non_mono_cut
0,0.73,2.0,1.0,3,pareto,no_cut
27,0.69,2.0,1.0,3,beta,mono_cut
6,0.69,2.0,1.0,3,pareto,mono_cut
0,0.32,1.0,1.0,1,pareto,no_cut
0,0.5,,,0,ac,no_cut
0,0.68,1.0,1.0,1,beta,no_cut
0,0.4,2.0,2.0,4,pareto,no_cut
20,0.32,2.0,2.0,4,pareto,mono_cut
0,0.56,1.0,2.0,2,pareto,no_cut
4,0.46,1.0,2.0,2,pareto,mono_cut
0,0.69,2.0,1.0,3,beta,no_cut
0,0.69,2.0,1.0,3,pareto,no_cut
21,0.32,2.0,2.0,4,pareto,non_mono_cut
7,0.74,1.0,1.0,1,beta,mono_cut
33,0.69,2.0,2.0,4,beta,non_mono_cut
0,0.82,1.0,1.0,1,pareto,no_cut
0,0.74,1.0,1.0,1,beta,no_cut
20,0.82,1.0,1.0,1,pareto,non_mono_cut
9,0.64,2.0,1.0,3,beta,mono_cut
16,0.69,2.0,2.0,4,beta,mono_cut
5,0.82,1.0,1.0,1,pareto,mono_cut
0,0.69,2.0,2.0,4,beta,no_cut
20,0.4,2.0,2.0,4,pareto,non_mono_cut
0,0.93,2.0,2.0,4,beta,no_cut
4,0.93,2.0,2.0,4,beta,mono_cut
15,0.68,1.0,1.0,1,beta,non_mono_cut
7,0.68,1.0,1.0,1,beta,mono_cut
0,0.46,1.0,2.0,2,pareto,no_cut
0,0.89,1.0,2.0,2,beta,no_cut
31,0.93,2.0,2.0,4,beta,non_mono_cut
6,0.32,1.0,1.0,1,pareto,mono_cut
14,0.89,1.0,2.0,2,beta,mono_cut
0,0.73,2.0,1.0,3,pareto,mono_cut
18,0.32,1.0,1.0,1,pareto,non_mono_cut
0,0.56,,,0,ac,no_cut
