,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
0,14.0,0.66,1,1,1,beta,mono_cut
1,3.0,0.93,2,2,4,beta,non_mono_cut
2,50.0,0.31,2,1,3,pareto,mono_cut
3,4.0,0.94,1,1,1,beta,mono_cut
4,34.0,0.53,1,1,1,pareto,no_cut
5,50.0,0.5,1,1,0,ac,no_cut
6,34.0,0.53,1,1,1,pareto,mono_cut
7,20.0,0.59,2,2,4,beta,non_mono_cut
8,12.0,0.83,1,2,2,beta,no_cut
9,28.0,0.6,1,2,2,beta,mono_cut
10,28.0,0.6,1,2,2,beta,no_cut
11,48.0,0.47,2,2,4,pareto,no_cut
12,4.0,0.85,1,1,1,pareto,mono_cut
13,48.0,0.47,2,2,4,pareto,non_mono_cut
14,16.0,0.61,2,1,3,pareto,no_cut
15,4.0,0.85,1,1,1,pareto,no_cut
16,4.0,0.85,1,1,1,pareto,non_mono_cut
17,34.0,0.53,1,1,1,pareto,non_mono_cut
18,14.0,0.66,1,1,1,beta,non_mono_cut
19,14.0,0.66,1,1,1,beta,no_cut
20,28.0,0.44,2,2,4,pareto,mono_cut
21,3.0,0.93,2,2,4,beta,no_cut
22,10.0,0.89,1,2,2,pareto,mono_cut
23,50.0,0.31,2,1,3,pareto,no_cut
24,2.0,0.95,2,1,3,beta,mono_cut
25,20.0,0.59,2,2,4,beta,mono_cut
26,15.0,0.62,1,2,2,pareto,mono_cut
27,40.0,0.56,1,1,0,ac,no_cut
28,4.0,0.94,1,1,1,beta,non_mono_cut
29,3.0,0.93,2,2,4,beta,mono_cut
30,48.0,0.47,2,2,4,pareto,mono_cut
31,15.0,0.62,1,2,2,pareto,no_cut
32,28.0,0.44,2,2,4,pareto,no_cut
33,16.0,0.68,2,1,3,beta,no_cut
34,10.0,0.89,1,2,2,pareto,no_cut
35,20.0,0.59,2,2,4,beta,no_cut
36,16.0,0.68,2,1,3,beta,mono_cut
37,16.0,0.61,2,1,3,pareto,mono_cut
38,12.0,0.83,1,2,2,beta,mono_cut
39,28.0,0.44,2,2,4,pareto,non_mono_cut
40,2.0,0.95,2,1,3,beta,no_cut
41,4.0,0.94,1,1,1,beta,no_cut
