est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
6,0.66,1.0,1.0,1,beta,mono_cut
34,0.93,2.0,2.0,4,beta,non_mono_cut
1,0.31,2.0,1.0,3,pareto,mono_cut
4,0.94,1.0,1.0,1,beta,mono_cut
0,0.53,1.0,1.0,1,pareto,no_cut
0,0.5,,,0,ac,no_cut
3,0.53,1.0,1.0,1,pareto,mono_cut
16,0.59,2.0,2.0,4,beta,non_mono_cut
0,0.83,1.0,2.0,2,beta,no_cut
26,0.6,1.0,2.0,2,beta,mono_cut
0,0.6,1.0,2.0,2,beta,no_cut
0,0.47,2.0,2.0,4,pareto,no_cut
9,0.85,1.0,1.0,1,pareto,mono_cut
22,0.47,2.0,2.0,4,pareto,non_mono_cut
0,0.61,2.0,1.0,3,pareto,no_cut
0,0.85,1.0,1.0,1,pareto,no_cut
20,0.85,1.0,1.0,1,pareto,non_mono_cut
16,0.53,1.0,1.0,1,pareto,non_mono_cut
26,0.66,1.0,1.0,1,beta,non_mono_cut
0,0.66,1.0,1.0,1,beta,no_cut
2,0.44,2.0,2.0,4,pareto,mono_cut
0,0.93,2.0,2.0,4,beta,no_cut
7,0.89,1.0,2.0,2,pareto,mono_cut
0,0.31,2.0,1.0,3,pareto,no_cut
26,0.95,2.0,1.0,3,beta,mono_cut
4,0.59,2.0,2.0,4,beta,mono_cut
13,0.62,1.0,2.0,2,pareto,mono_cut
0,0.56,,,0,ac,no_cut
22,0.94,1.0,1.0,1,beta,non_mono_cut
8,0.93,2.0,2.0,4,beta,mono_cut
13,0.47,2.0,2.0,4,pareto,mono_cut
0,0.62,1.0,2.0,2,pareto,no_cut
0,0.44,2.0,2.0,4,pareto,no_cut
0,0.68,2.0,1.0,3,beta,no_cut
0,0.89,1.0,2.0,2,pareto,no_cut
0,0.59,2.0,2.0,4,beta,no_cut
1,0.68,2.0,1.0,3,beta,mono_cut
1,0.61,2.0,1.0,3,pareto,mono_cut
6,0.83,1.0,2.0,2,beta,mono_cut
18,0.44,2.0,2.0,4,pareto,non_mono_cut
0,0.95,2.0,1.0,3,beta,no_cut
0,0.94,1.0,1.0,1,beta,no_cut
