est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
34.0,0.39,2,2,4,pareto,non_mono_cut
11.0,0.66,2,1,3,pareto,mono_cut
21.0,0.72,2,1,3,beta,no_cut
17.0,0.63,1,2,2,pareto,no_cut
15.0,0.59,1,1,1,pareto,non_mono_cut
4.0,0.93,2,2,4,beta,mono_cut
15.0,0.59,1,1,1,pareto,no_cut
40.0,0.35,1,2,2,pareto,no_cut
20.0,0.69,1,1,1,beta,no_cut
50.0,0.5,1,1,0,ac,no_cut
11.0,0.73,1,1,1,pareto,mono_cut
44.0,0.32,2,1,3,pareto,no_cut
2.0,0.96,1,2,2,beta,no_cut
7.0,0.87,2,2,4,beta,mono_cut
10.0,0.86,1,1,1,beta,no_cut
17.0,0.63,1,2,2,pareto,mono_cut
7.0,0.87,2,2,4,beta,no_cut
10.0,0.86,1,1,1,beta,non_mono_cut
11.0,0.66,2,1,3,pareto,no_cut
5.0,0.85,2,2,4,pareto,no_cut
34.0,0.39,2,2,4,pareto,mono_cut
40.0,0.56,1,1,0,ac,no_cut
4.0,0.93,2,2,4,beta,no_cut
0.0,1.0,1,2,2,beta,no_cut
34.0,0.39,2,2,4,pareto,no_cut
20.0,0.69,1,1,1,beta,non_mono_cut
11.0,0.73,1,1,1,pareto,non_mono_cut
1.0,0.98,2,1,3,beta,mono_cut
15.0,0.59,1,1,1,pareto,mono_cut
10.0,0.86,1,1,1,beta,mono_cut
20.0,0.69,1,1,1,beta,mono_cut
21.0,0.72,2,1,3,beta,mono_cut
2.0,0.96,1,2,2,beta,mono_cut
40.0,0.35,1,2,2,pareto,mono_cut
11.0,0.73,1,1,1,pareto,no_cut
7.0,0.87,2,2,4,beta,non_mono_cut
0.0,1.0,1,2,2,beta,mono_cut
1.0,0.98,2,1,3,beta,no_cut
5.0,0.85,2,2,4,pareto,non_mono_cut
44.0,0.32,2,1,3,pareto,mono_cut
5.0,0.85,2,2,4,pareto,mono_cut
4.0,0.93,2,2,4,beta,non_mono_cut
