,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
0,34.0,0.39,2,2,4,pareto,non_mono_cut
1,11.0,0.66,2,1,3,pareto,mono_cut
2,21.0,0.72,2,1,3,beta,no_cut
3,17.0,0.63,1,2,2,pareto,no_cut
4,15.0,0.59,1,1,1,pareto,non_mono_cut
5,4.0,0.93,2,2,4,beta,mono_cut
6,15.0,0.59,1,1,1,pareto,no_cut
7,40.0,0.35,1,2,2,pareto,no_cut
8,20.0,0.69,1,1,1,beta,no_cut
9,50.0,0.5,1,1,0,ac,no_cut
10,11.0,0.73,1,1,1,pareto,mono_cut
11,44.0,0.32,2,1,3,pareto,no_cut
12,2.0,0.96,1,2,2,beta,no_cut
13,7.0,0.87,2,2,4,beta,mono_cut
14,10.0,0.86,1,1,1,beta,no_cut
15,17.0,0.63,1,2,2,pareto,mono_cut
16,7.0,0.87,2,2,4,beta,no_cut
17,10.0,0.86,1,1,1,beta,non_mono_cut
18,11.0,0.66,2,1,3,pareto,no_cut
19,5.0,0.85,2,2,4,pareto,no_cut
20,34.0,0.39,2,2,4,pareto,mono_cut
21,40.0,0.56,1,1,0,ac,no_cut
22,4.0,0.93,2,2,4,beta,no_cut
23,0.0,1.0,1,2,2,beta,no_cut
24,34.0,0.39,2,2,4,pareto,no_cut
25,20.0,0.69,1,1,1,beta,non_mono_cut
26,11.0,0.73,1,1,1,pareto,non_mono_cut
27,1.0,0.98,2,1,3,beta,mono_cut
28,15.0,0.59,1,1,1,pareto,mono_cut
29,10.0,0.86,1,1,1,beta,mono_cut
30,20.0,0.69,1,1,1,beta,mono_cut
31,21.0,0.72,2,1,3,beta,mono_cut
32,2.0,0.96,1,2,2,beta,mono_cut
33,40.0,0.35,1,2,2,pareto,mono_cut
34,11.0,0.73,1,1,1,pareto,no_cut
35,7.0,0.87,2,2,4,beta,non_mono_cut
36,0.0,1.0,1,2,2,beta,mono_cut
37,1.0,0.98,2,1,3,beta,no_cut
38,5.0,0.85,2,2,4,pareto,non_mono_cut
39,44.0,0.32,2,1,3,pareto,mono_cut
40,5.0,0.85,2,2,4,pareto,mono_cut
41,4.0,0.93,2,2,4,beta,non_mono_cut
