pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
14,1,17.0,78.0,1,1,1,beta,mono_cut
14,2,17.0,78.0,1,1,1,beta,non_mono_cut
14,3,17.0,78.0,1,1,1,beta,no_cut
14,4,31.0,40.0,1,1,1,pareto,no_cut
14,5,16.0,81.0,2,2,4,beta,no_cut
14,6,36.0,37.0,2,2,4,pareto,mono_cut
14,7,30.0,43.0,2,1,3,pareto,non_mono_cut
14,8,20.0,73.0,2,2,4,beta,non_mono_cut
14,9,18.0,78.0,1,2,2,beta,no_cut
14,10,29.0,56.99999999999999,1,1,1,beta,mono_cut
14,11,18.0,74.0,2,1,3,beta,non_mono_cut
14,12,31.0,40.0,1,1,1,pareto,non_mono_cut
14,13,50.0,50.0,1,1,0,ac,no_cut
14,14,16.0,80.0,2,1,3,beta,mono_cut
14,15,16.0,81.0,2,2,4,beta,non_mono_cut
14,16,55.0,44.0,1,2,2,pareto,mono_cut
14,17,18.0,78.0,1,2,2,beta,non_mono_cut
14,18,43.0,38.0,2,1,3,pareto,no_cut
14,19,55.0,44.0,1,2,2,pareto,no_cut
14,20,30.0,52.0,1,2,2,pareto,mono_cut
14,21,33.0,39.0,1,1,1,pareto,non_mono_cut
14,22,30.0,52.0,1,2,2,pareto,no_cut
14,23,30.0,43.0,2,1,3,pareto,mono_cut
14,24,20.0,73.0,2,2,4,beta,no_cut
14,25,18.0,78.0,1,2,2,beta,non_mono_cut
14,26,20.0,73.0,2,2,4,beta,mono_cut
14,27,31.0,40.0,1,1,1,pareto,mono_cut
14,28,18.0,74.0,2,1,3,beta,no_cut
14,29,29.0,56.99999999999999,1,1,1,beta,non_mono_cut
14,30,30.0,43.0,2,1,3,pareto,no_cut
14,31,36.0,37.0,2,2,4,pareto,non_mono_cut
14,32,48.0,30.0,2,2,4,pareto,mono_cut
14,33,16.0,81.0,2,2,4,beta,mono_cut
14,34,18.0,74.0,2,1,3,beta,mono_cut
14,35,33.0,39.0,1,1,1,pareto,no_cut
14,36,48.0,30.0,2,2,4,pareto,non_mono_cut
14,37,40.0,56.00000000000001,1,1,0,ac,no_cut
14,38,18.0,78.0,1,2,2,beta,mono_cut
14,39,18.0,78.0,1,2,2,beta,mono_cut
14,40,43.0,38.0,2,1,3,pareto,mono_cut
14,41,16.0,80.0,2,1,3,beta,no_cut
14,42,48.0,30.0,2,2,4,pareto,no_cut
