pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
0,1,4.0,91.0,2,2,4,beta,mono_cut
0,2,22.0,72.0,2,2,4,beta,no_cut
0,3,19.0,51.0,1,2,2,pareto,no_cut
0,4,27.0,53.0,2,1,3,beta,mono_cut
0,5,48.0,30.0,2,2,4,pareto,no_cut
0,6,5.0,92.0,1,1,1,beta,non_mono_cut
0,7,29.0,54.0,1,1,1,pareto,non_mono_cut
0,8,3.0,90.0,2,2,4,pareto,no_cut
0,9,42.0,37.0,1,2,2,beta,mono_cut
0,10,5.0,92.0,1,1,1,beta,no_cut
0,11,3.0,95.0,1,1,1,beta,non_mono_cut
0,12,10.0,80.0,1,2,2,beta,mono_cut
0,13,3.0,90.0,2,2,4,pareto,non_mono_cut
0,14,50.0,50.0,1,1,0,ac,no_cut
0,15,14.0,71.0,1,2,2,pareto,no_cut
0,16,14.0,71.0,1,2,2,pareto,mono_cut
0,17,9.0,70.0,2,1,3,pareto,mono_cut
0,18,10.0,80.0,1,2,2,beta,no_cut
0,19,22.0,72.0,2,2,4,beta,non_mono_cut
0,20,4.0,85.0,2,1,3,pareto,mono_cut
0,21,19.0,51.0,1,2,2,pareto,mono_cut
0,22,3.0,95.0,1,1,1,beta,mono_cut
0,23,20.0,69.0,2,1,3,beta,mono_cut
0,24,5.0,92.0,1,1,1,beta,mono_cut
0,25,4.0,91.0,2,2,4,beta,no_cut
0,26,29.0,54.0,1,1,1,pareto,no_cut
0,27,40.0,56.00000000000001,1,1,0,ac,no_cut
0,28,20.0,69.0,2,1,3,beta,no_cut
0,29,42.0,37.0,1,2,2,beta,no_cut
0,30,22.0,72.0,2,2,4,beta,mono_cut
0,31,27.0,53.0,2,1,3,beta,no_cut
0,32,4.0,91.0,2,2,4,beta,non_mono_cut
0,33,3.0,95.0,1,1,1,beta,no_cut
0,34,29.0,54.0,1,1,1,pareto,mono_cut
0,35,48.0,30.0,2,2,4,pareto,mono_cut
0,36,42.0,51.0,1,1,1,pareto,no_cut
0,37,9.0,70.0,2,1,3,pareto,no_cut
0,38,4.0,85.0,2,1,3,pareto,no_cut
0,39,42.0,51.0,1,1,1,pareto,non_mono_cut
0,40,48.0,30.0,2,2,4,pareto,non_mono_cut
0,41,3.0,90.0,2,2,4,pareto,mono_cut
0,42,42.0,51.0,1,1,1,pareto,mono_cut
1,1,15.0,72.0,2,2,4,pareto,non_mono_cut
1,2,31.0,52.0,1,1,1,pareto,mono_cut
1,3,8.0,86.0,1,2,2,beta,mono_cut
1,4,11.0,66.0,2,2,4,pareto,non_mono_cut
1,5,31.0,52.0,1,1,1,pareto,non_mono_cut
1,6,9.0,85.0,1,2,2,beta,no_cut
1,7,13.0,84.0,1,1,1,beta,mono_cut
1,8,3.0,95.0,2,2,4,beta,non_mono_cut
1,9,31.0,52.0,1,1,1,pareto,no_cut
1,10,9.0,85.0,1,2,2,beta,mono_cut
1,11,29.0,70.0,1,1,1,pareto,mono_cut
1,12,50.0,50.0,1,1,0,ac,no_cut
1,13,3.0,95.0,2,2,4,beta,mono_cut
1,14,4.0,93.0,2,2,4,beta,non_mono_cut
1,15,21.0,50.0,2,1,3,pareto,mono_cut
1,16,17.0,75.0,2,1,3,beta,mono_cut
1,17,11.0,66.0,2,2,4,pareto,mono_cut
1,18,3.0,95.0,2,2,4,beta,no_cut
1,19,15.0,80.0,2,1,3,beta,mono_cut
1,20,23.0,56.00000000000001,1,1,1,beta,mono_cut
1,21,15.0,72.0,2,2,4,pareto,no_cut
1,22,48.0,35.0,2,1,3,pareto,no_cut
1,23,11.0,66.0,2,2,4,pareto,no_cut
1,24,4.0,93.0,2,2,4,beta,mono_cut
1,25,17.0,75.0,2,1,3,beta,no_cut
1,26,15.0,80.0,2,1,3,beta,no_cut
1,27,15.0,72.0,2,2,4,pareto,mono_cut
1,28,23.0,56.00000000000001,1,1,1,beta,non_mono_cut
1,29,29.0,43.0,1,2,2,pareto,mono_cut
1,30,21.0,50.0,2,1,3,pareto,no_cut
1,31,48.0,35.0,2,1,3,pareto,mono_cut
1,32,4.0,93.0,2,2,4,beta,no_cut
1,33,29.0,70.0,1,1,1,pareto,non_mono_cut
1,34,20.0,52.0,1,2,2,pareto,no_cut
1,35,29.0,70.0,1,1,1,pareto,no_cut
1,36,29.0,43.0,1,2,2,pareto,no_cut
1,37,8.0,86.0,1,2,2,beta,no_cut
1,38,20.0,52.0,1,2,2,pareto,mono_cut
1,39,23.0,56.00000000000001,1,1,1,beta,no_cut
1,40,13.0,84.0,1,1,1,beta,no_cut
1,41,40.0,56.00000000000001,1,1,0,ac,no_cut
1,42,13.0,84.0,1,1,1,beta,non_mono_cut
2,1,40.0,46.0,1,1,1,beta,non_mono_cut
2,2,10.0,68.0,1,2,2,pareto,no_cut
2,3,9.0,82.0,1,1,1,beta,no_cut
2,4,21.0,71.0,2,2,4,beta,mono_cut
2,5,6.0,88.0,2,1,3,pareto,mono_cut
2,6,9.0,82.0,1,1,1,beta,non_mono_cut
2,7,50.0,50.0,1,1,0,ac,no_cut
2,8,45.0,38.0,2,2,4,beta,no_cut
2,9,40.0,46.0,1,1,1,beta,no_cut
