est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
24,0.46,1.0,1.0,1,beta,non_mono_cut
0,0.68,1.0,2.0,2,pareto,no_cut
0,0.82,1.0,1.0,1,beta,no_cut
22,0.71,2.0,2.0,4,beta,mono_cut
12,0.88,2.0,1.0,3,pareto,mono_cut
31,0.82,1.0,1.0,1,beta,non_mono_cut
0,0.5,,,0,ac,no_cut
0,0.38,2.0,2.0,4,beta,no_cut
0,0.46,1.0,1.0,1,beta,no_cut
0,0.38,1.0,1.0,1,pareto,no_cut
12,0.47,1.0,1.0,1,pareto,mono_cut
19,0.38,2.0,2.0,4,beta,non_mono_cut
19,0.38,1.0,1.0,1,pareto,non_mono_cut
17,0.38,1.0,1.0,1,pareto,mono_cut
4,0.62,2.0,1.0,3,pareto,mono_cut
0,0.57,1.0,2.0,2,beta,no_cut
8,0.73,2.0,1.0,3,beta,mono_cut
0,0.84,1.0,2.0,2,beta,no_cut
0,0.96,2.0,2.0,4,pareto,no_cut
0,0.71,2.0,2.0,4,beta,no_cut
4,0.28,2.0,2.0,4,pareto,mono_cut
0,0.48,1.0,2.0,2,pareto,no_cut
8,0.38,2.0,2.0,4,beta,mono_cut
27,0.84,1.0,2.0,2,beta,mono_cut
27,0.71,2.0,2.0,4,beta,non_mono_cut
0,0.62,2.0,1.0,3,pareto,no_cut
0,0.56,,,0,ac,no_cut
0,0.28,2.0,2.0,4,pareto,no_cut
20,0.53,2.0,1.0,3,beta,mono_cut
19,0.57,1.0,2.0,2,beta,mono_cut
15,0.46,1.0,1.0,1,beta,mono_cut
0,0.47,1.0,1.0,1,pareto,no_cut
22,0.96,2.0,2.0,4,pareto,non_mono_cut
10,0.68,1.0,2.0,2,pareto,mono_cut
15,0.28,2.0,2.0,4,pareto,non_mono_cut
19,0.47,1.0,1.0,1,pareto,non_mono_cut
0,0.88,2.0,1.0,3,pareto,no_cut
0,0.73,2.0,1.0,3,beta,no_cut
11,0.96,2.0,2.0,4,pareto,mono_cut
0,0.53,2.0,1.0,3,beta,no_cut
1,0.82,1.0,1.0,1,beta,mono_cut
22,0.48,1.0,2.0,2,pareto,mono_cut
