pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,rel,dist,cut
88,1,18.0,78.0,2,1,3,beta,mc
88,2,25.0,67.0,1,2,2,beta,nc
88,3,17.0,77.0,1,1,1,beta,nc
88,4,25.0,67.0,1,2,2,beta,mc
88,5,20.0,77.0,1,2,2,beta,nc
88,6,50.0,50.0,1,1,0,ac,nc
88,7,27.0,44.0,2,2,4,pareto,nmc
88,8,62.0,32.0,2,2,4,pareto,nmc
88,9,16.0,81.0,2,2,4,beta,mc
88,10,50.0,39.0,1,1,1,pareto,mc
88,11,60.0,27.0,1,2,2,pareto,nc
88,12,62.0,32.0,2,2,4,pareto,mc
88,13,36.0,38.0,2,1,3,pareto,mc
88,14,24.0,67.0,2,1,3,beta,nc
88,15,24.0,67.0,2,1,3,beta,mc
88,16,14.0,82.0,2,2,4,beta,nmc
88,17,38.0,38.0,1,2,2,pareto,mc
88,18,62.0,32.0,2,2,4,pareto,nc
88,19,16.0,81.0,2,2,4,beta,nc
88,20,50.0,43.0,2,1,3,pareto,nc
88,21,14.0,82.0,2,2,4,beta,nc
88,22,27.0,44.0,2,2,4,pareto,nc
88,23,17.0,77.0,1,1,1,beta,mc
88,24,18.0,78.0,2,1,3,beta,nc
88,25,36.0,38.0,2,1,3,pareto,nc
88,26,20.0,75.0,1,1,1,beta,mc
88,27,20.0,75.0,1,1,1,beta,nmc
88,28,60.0,27.0,1,2,2,pareto,mc
88,29,49.0,30.0,1,1,1,pareto,nc
88,30,16.0,81.0,2,2,4,beta,nmc
88,31,40.0,56.00000000000001,1,1,0,ac,nc
88,32,50.0,39.0,1,1,1,pareto,nc
88,33,27.0,44.0,2,2,4,pareto,mc
88,34,17.0,77.0,1,1,1,beta,nmc
88,35,49.0,30.0,1,1,1,pareto,nmc
88,36,38.0,38.0,1,2,2,pareto,nc
88,37,20.0,75.0,1,1,1,beta,nc
88,38,14.0,82.0,2,2,4,beta,mc
88,39,49.0,30.0,1,1,1,pareto,mc
88,40,50.0,39.0,1,1,1,pareto,nmc
88,41,50.0,43.0,2,1,3,pareto,mc
88,42,20.0,77.0,1,2,2,beta,mc
