est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
9,0.91,2.0,2.0,4,beta,mono_cut
0,0.72,2.0,2.0,4,beta,no_cut
0,0.51,1.0,2.0,2,pareto,no_cut
2,0.53,2.0,1.0,3,beta,mono_cut
0,0.3,2.0,2.0,4,pareto,no_cut
33,0.92,1.0,1.0,1,beta,non_mono_cut
19,0.54,1.0,1.0,1,pareto,non_mono_cut
0,0.9,2.0,2.0,4,pareto,no_cut
22,0.37,1.0,2.0,2,beta,mono_cut
0,0.92,1.0,1.0,1,beta,no_cut
38,0.95,1.0,1.0,1,beta,non_mono_cut
20,0.8,1.0,2.0,2,beta,mono_cut
15,0.9,2.0,2.0,4,pareto,non_mono_cut
0,0.5,,,0,ac,no_cut
0,0.71,1.0,2.0,2,pareto,no_cut
13,0.71,1.0,2.0,2,pareto,mono_cut
7,0.7,2.0,1.0,3,pareto,mono_cut
0,0.8,1.0,2.0,2,beta,no_cut
23,0.72,2.0,2.0,4,beta,non_mono_cut
0,0.85,2.0,1.0,3,pareto,mono_cut
16,0.51,1.0,2.0,2,pareto,mono_cut
15,0.95,1.0,1.0,1,beta,mono_cut
2,0.69,2.0,1.0,3,beta,mono_cut
15,0.92,1.0,1.0,1,beta,mono_cut
0,0.91,2.0,2.0,4,beta,no_cut
0,0.54,1.0,1.0,1,pareto,no_cut
0,0.56,,,0,ac,no_cut
0,0.69,2.0,1.0,3,beta,no_cut
0,0.37,1.0,2.0,2,beta,no_cut
1,0.72,2.0,2.0,4,beta,mono_cut
0,0.53,2.0,1.0,3,beta,no_cut
24,0.91,2.0,2.0,4,beta,non_mono_cut
0,0.95,1.0,1.0,1,beta,no_cut
4,0.54,1.0,1.0,1,pareto,mono_cut
8,0.3,2.0,2.0,4,pareto,mono_cut
0,0.51,1.0,1.0,1,pareto,no_cut
0,0.7,2.0,1.0,3,pareto,no_cut
0,0.85,2.0,1.0,3,pareto,no_cut
18,0.51,1.0,1.0,1,pareto,non_mono_cut
19,0.3,2.0,2.0,4,pareto,non_mono_cut
4,0.9,2.0,2.0,4,pareto,mono_cut
5,0.51,1.0,1.0,1,pareto,mono_cut
