pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
4,1,21.0,75.0,1,1,1,beta,non_mono_cut
4,2,14.0,82.0,2,2,4,beta,no_cut
4,3,50.0,43.0,1,1,1,pareto,non_mono_cut
4,4,22.0,56.00000000000001,2,2,4,pareto,mono_cut
4,5,20.0,74.0,1,2,2,beta,no_cut
4,6,50.0,50.0,1,1,0,ac,no_cut
4,7,50.0,28.999999999999996,2,2,4,pareto,no_cut
4,8,38.0,41.0,1,2,2,pareto,no_cut
4,9,44.0,38.0,1,2,2,pareto,mono_cut
4,10,76.0,22.0,2,1,3,pareto,no_cut
4,11,21.0,75.0,1,1,1,beta,mono_cut
4,12,27.0,69.0,2,1,3,beta,no_cut
4,13,22.0,73.0,2,2,4,beta,mono_cut
4,14,25.0,70.0,1,2,2,beta,mono_cut
4,15,44.0,38.0,1,2,2,pareto,no_cut
4,16,24.0,71.0,2,1,3,beta,mono_cut
4,17,22.0,56.00000000000001,2,2,4,pareto,no_cut
4,18,76.0,22.0,2,1,3,pareto,mono_cut
4,19,30.0,47.0,1,1,1,pareto,non_mono_cut
4,20,20.0,74.0,1,1,1,beta,non_mono_cut
4,21,22.0,73.0,2,2,4,beta,no_cut
4,22,62.0,28.000000000000004,2,1,3,pareto,mono_cut
4,23,27.0,69.0,2,1,3,beta,mono_cut
4,24,20.0,74.0,1,2,2,beta,mono_cut
4,25,14.0,82.0,2,2,4,beta,mono_cut
4,26,25.0,70.0,1,2,2,beta,no_cut
4,27,21.0,75.0,1,1,1,beta,no_cut
4,28,50.0,43.0,1,1,1,pareto,mono_cut
4,29,14.0,82.0,2,2,4,beta,non_mono_cut
4,30,22.0,56.00000000000001,2,2,4,pareto,non_mono_cut
4,31,50.0,28.999999999999996,2,2,4,pareto,non_mono_cut
4,32,20.0,74.0,1,1,1,beta,mono_cut
4,33,38.0,41.0,1,2,2,pareto,mono_cut
4,34,50.0,28.999999999999996,2,2,4,pareto,mono_cut
4,35,24.0,71.0,2,1,3,beta,no_cut
4,36,30.0,47.0,1,1,1,pareto,mono_cut
4,37,50.0,43.0,1,1,1,pareto,no_cut
4,38,22.0,73.0,2,2,4,beta,non_mono_cut
4,39,20.0,74.0,1,1,1,beta,no_cut
4,40,62.0,28.000000000000004,2,1,3,pareto,no_cut
4,41,30.0,47.0,1,1,1,pareto,no_cut
4,42,40.0,56.00000000000001,1,1,0,ac,no_cut
