pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
8,1,19.0,59.0,1,1,1,pareto,no_cut
8,2,19.0,74.0,2,2,4,beta,non_mono_cut
8,3,35.0,61.0,2,1,3,beta,no_cut
8,4,19.0,74.0,2,2,4,beta,mono_cut
8,5,68.0,28.999999999999996,1,2,2,pareto,no_cut
8,6,23.0,52.0,2,2,4,pareto,non_mono_cut
8,7,16.0,80.0,1,1,1,beta,mono_cut
8,8,50.0,50.0,1,1,0,ac,no_cut
8,9,27.0,67.0,1,2,2,beta,no_cut
8,10,39.0,49.0,1,1,1,pareto,mono_cut
8,11,15.0,83.0,1,2,2,beta,non_mono_cut
8,12,33.0,62.0,2,2,4,beta,mono_cut
8,13,19.0,60.0,2,1,3,pareto,mono_cut
8,14,22.0,72.0,1,1,1,beta,non_mono_cut
8,15,24.0,73.0,2,1,3,beta,non_mono_cut
8,16,23.0,52.0,2,2,4,pareto,mono_cut
8,17,22.0,67.0,1,2,2,pareto,non_mono_cut
8,18,33.0,62.0,2,2,4,beta,non_mono_cut
8,19,15.0,83.0,1,2,2,beta,no_cut
8,20,35.0,61.0,2,1,3,beta,mono_cut
8,21,22.0,67.0,1,2,2,pareto,no_cut
8,22,40.0,56.00000000000001,1,1,0,ac,no_cut
8,23,39.0,49.0,1,1,1,pareto,no_cut
8,24,33.0,62.0,2,2,4,beta,no_cut
8,25,27.0,67.0,1,2,2,beta,non_mono_cut
8,26,37.0,45.0,2,2,4,pareto,non_mono_cut
8,27,47.0,41.0,2,1,3,pareto,no_cut
8,28,16.0,80.0,1,1,1,beta,non_mono_cut
8,29,19.0,74.0,2,2,4,beta,no_cut
8,30,37.0,45.0,2,2,4,pareto,no_cut
8,31,19.0,59.0,1,1,1,pareto,non_mono_cut
8,32,19.0,60.0,2,1,3,pareto,no_cut
8,33,24.0,73.0,2,1,3,beta,mono_cut
8,34,22.0,72.0,1,1,1,beta,mono_cut
8,35,68.0,28.999999999999996,1,2,2,pareto,non_mono_cut
8,36,47.0,41.0,2,1,3,pareto,mono_cut
8,37,35.0,61.0,2,1,3,beta,non_mono_cut
8,38,15.0,83.0,1,2,2,beta,mono_cut
8,39,22.0,72.0,1,1,1,beta,no_cut
8,40,22.0,67.0,1,2,2,pareto,mono_cut
8,41,19.0,60.0,2,1,3,pareto,non_mono_cut
8,42,24.0,73.0,2,1,3,beta,no_cut
