est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
39.0,0.36,1,1,1,pareto,no_cut
11.0,0.65,1,1,1,pareto,non_mono_cut
9.0,0.78,1,1,1,beta,mono_cut
9.0,0.8,1,1,1,beta,no_cut
9.0,0.84,2,1,3,beta,mono_cut
9.0,0.84,2,1,3,beta,no_cut
39.0,0.36,1,1,1,pareto,non_mono_cut
49.0,0.44,2,1,3,pareto,mono_cut
4.0,0.85,2,1,3,pareto,no_cut
1.0,0.95,2,2,4,pareto,non_mono_cut
28.0,0.62,2,2,4,beta,non_mono_cut
19.0,0.68,1,2,2,beta,no_cut
6.0,0.83,2,2,4,pareto,no_cut
49.0,0.44,2,1,3,pareto,no_cut
39.0,0.36,1,1,1,pareto,mono_cut
9.0,0.8,1,1,1,beta,non_mono_cut
28.0,0.62,2,2,4,beta,no_cut
11.0,0.78,2,2,4,beta,non_mono_cut
6.0,0.83,2,2,4,pareto,mono_cut
50.0,0.5,1,1,0,ac,no_cut
1.0,0.95,2,2,4,pareto,mono_cut
11.0,0.78,2,2,4,beta,mono_cut
1.0,0.98,1,2,2,pareto,no_cut
11.0,0.65,1,1,1,pareto,mono_cut
32.0,0.43,1,2,2,pareto,mono_cut
11.0,0.65,1,1,1,pareto,no_cut
11.0,0.78,2,2,4,beta,no_cut
32.0,0.43,1,2,2,pareto,no_cut
19.0,0.68,1,2,2,beta,mono_cut
9.0,0.78,1,1,1,beta,no_cut
1.0,0.95,2,2,4,pareto,no_cut
9.0,0.78,1,1,1,beta,non_mono_cut
28.0,0.62,2,2,4,beta,mono_cut
21.0,0.42,1,2,2,beta,mono_cut
1.0,0.98,1,2,2,pareto,mono_cut
21.0,0.42,1,2,2,beta,no_cut
7.0,0.84,2,1,3,beta,no_cut
4.0,0.85,2,1,3,pareto,mono_cut
9.0,0.8,1,1,1,beta,mono_cut
6.0,0.83,2,2,4,pareto,non_mono_cut
40.0,0.56,1,1,0,ac,no_cut
7.0,0.84,2,1,3,beta,mono_cut
