pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
19,1,17.0,79.0,1,1,1,beta,non_mono_cut
19,2,62.0,28.999999999999996,1,1,1,pareto,non_mono_cut
19,3,44.0,32.0,2,1,3,pareto,no_cut
19,4,38.0,38.0,2,1,3,pareto,mono_cut
19,5,56.0,36.0,2,2,4,pareto,mono_cut
19,6,17.0,79.0,1,1,1,beta,mono_cut
19,7,50.0,50.0,1,1,0,ac,no_cut
19,8,65.0,32.0,1,2,2,pareto,no_cut
19,9,38.0,38.0,2,1,3,pareto,no_cut
19,10,47.0,30.0,1,2,2,pareto,mono_cut
19,11,40.0,56.99999999999999,2,2,4,beta,mono_cut
19,12,56.0,34.0,1,1,1,pareto,mono_cut
19,13,17.0,80.0,2,1,3,beta,no_cut
19,14,24.0,71.0,1,2,2,beta,no_cut
19,15,22.0,74.0,2,1,3,beta,mono_cut
19,16,26.0,69.0,2,2,4,beta,non_mono_cut
19,17,24.0,71.0,1,2,2,beta,mono_cut
19,18,40.0,56.99999999999999,2,2,4,beta,non_mono_cut
19,19,31.0,63.0,1,2,2,beta,mono_cut
19,20,47.0,30.0,1,2,2,pareto,no_cut
19,21,56.0,34.0,1,1,1,pareto,non_mono_cut
19,22,31.0,64.0,1,1,1,beta,no_cut
19,23,31.0,63.0,1,2,2,beta,no_cut
19,24,31.0,64.0,1,1,1,beta,mono_cut
19,25,62.0,28.999999999999996,1,1,1,pareto,no_cut
19,26,31.0,64.0,1,1,1,beta,non_mono_cut
19,27,26.0,69.0,2,2,4,beta,no_cut
19,28,65.0,32.0,1,2,2,pareto,mono_cut
19,29,60.0,28.000000000000004,2,2,4,pareto,no_cut
19,30,60.0,28.000000000000004,2,2,4,pareto,mono_cut
19,31,56.0,34.0,1,1,1,pareto,no_cut
19,32,56.0,36.0,2,2,4,pareto,no_cut
19,33,17.0,79.0,1,1,1,beta,no_cut
19,34,56.0,36.0,2,2,4,pareto,non_mono_cut
19,35,62.0,28.999999999999996,1,1,1,pareto,mono_cut
19,36,60.0,28.000000000000004,2,2,4,pareto,non_mono_cut
19,37,44.0,32.0,2,1,3,pareto,mono_cut
19,38,40.0,56.00000000000001,1,1,0,ac,no_cut
19,39,26.0,69.0,2,2,4,beta,mono_cut
19,40,22.0,74.0,2,1,3,beta,no_cut
19,41,40.0,56.99999999999999,2,2,4,beta,no_cut
19,42,17.0,80.0,2,1,3,beta,mono_cut
