est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
15.0,0.72,2,2,4,pareto,non_mono_cut
31.0,0.52,1,1,1,pareto,mono_cut
8.0,0.86,1,2,2,beta,mono_cut
11.0,0.66,2,2,4,pareto,non_mono_cut
31.0,0.52,1,1,1,pareto,non_mono_cut
9.0,0.85,1,2,2,beta,no_cut
13.0,0.84,1,1,1,beta,mono_cut
3.0,0.95,2,2,4,beta,non_mono_cut
31.0,0.52,1,1,1,pareto,no_cut
9.0,0.85,1,2,2,beta,mono_cut
29.0,0.7,1,1,1,pareto,mono_cut
50.0,0.5,1,1,0,ac,no_cut
3.0,0.95,2,2,4,beta,mono_cut
4.0,0.93,2,2,4,beta,non_mono_cut
21.0,0.5,2,1,3,pareto,mono_cut
17.0,0.75,2,1,3,beta,mono_cut
11.0,0.66,2,2,4,pareto,mono_cut
3.0,0.95,2,2,4,beta,no_cut
15.0,0.8,2,1,3,beta,mono_cut
23.0,0.56,1,1,1,beta,mono_cut
15.0,0.72,2,2,4,pareto,no_cut
48.0,0.35,2,1,3,pareto,no_cut
11.0,0.66,2,2,4,pareto,no_cut
4.0,0.93,2,2,4,beta,mono_cut
17.0,0.75,2,1,3,beta,no_cut
15.0,0.8,2,1,3,beta,no_cut
15.0,0.72,2,2,4,pareto,mono_cut
23.0,0.56,1,1,1,beta,non_mono_cut
29.0,0.43,1,2,2,pareto,mono_cut
21.0,0.5,2,1,3,pareto,no_cut
48.0,0.35,2,1,3,pareto,mono_cut
4.0,0.93,2,2,4,beta,no_cut
29.0,0.7,1,1,1,pareto,non_mono_cut
20.0,0.52,1,2,2,pareto,no_cut
29.0,0.7,1,1,1,pareto,no_cut
29.0,0.43,1,2,2,pareto,no_cut
8.0,0.86,1,2,2,beta,no_cut
20.0,0.52,1,2,2,pareto,mono_cut
23.0,0.56,1,1,1,beta,no_cut
13.0,0.84,1,1,1,beta,no_cut
40.0,0.56,1,1,0,ac,no_cut
13.0,0.84,1,1,1,beta,non_mono_cut
