pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,rel,dist,cut
113,1,54.0,41.0,1,2,2,pareto,mc
113,2,47.0,41.0,1,1,1,pareto,nc
113,3,47.0,41.0,1,1,1,pareto,nmc
113,4,22.0,74.0,2,1,3,beta,nc
113,5,16.0,80.0,1,1,1,beta,nc
113,6,18.0,76.0,1,1,1,beta,nc
113,7,16.0,80.0,1,1,1,beta,nmc
113,8,47.0,41.0,1,1,1,pareto,mc
113,9,10.0,86.0,2,2,4,beta,mc
113,10,22.0,74.0,2,1,3,beta,mc
113,11,69.0,28.999999999999996,2,2,4,pareto,nc
113,12,50.0,50.0,1,1,0,ac,nc
113,13,22.0,75.0,2,1,3,beta,mc
113,14,46.0,34.0,2,2,4,pareto,nc
113,15,27.0,68.0,1,2,2,beta,mc
113,16,24.0,48.0,2,1,3,pareto,mc
113,17,69.0,28.999999999999996,2,2,4,pareto,mc
113,18,49.0,36.0,2,1,3,pareto,mc
113,19,30.0,63.0,2,2,4,beta,nmc
113,20,10.0,86.0,2,2,4,beta,nmc
113,21,49.0,36.0,2,1,3,pareto,nc
113,22,30.0,63.0,2,2,4,beta,mc
113,23,58.0,33.0,1,2,2,pareto,nc
113,24,46.0,34.0,2,2,4,pareto,mc
113,25,72.0,27.0,1,1,1,pareto,nmc
113,26,22.0,75.0,2,1,3,beta,nc
113,27,58.0,33.0,1,2,2,pareto,mc
113,28,69.0,28.999999999999996,2,2,4,pareto,nmc
113,29,18.0,76.0,1,1,1,beta,nmc
113,30,16.0,80.0,1,1,1,beta,mc
113,31,72.0,27.0,1,1,1,pareto,mc
113,32,72.0,27.0,1,1,1,pareto,nc
113,33,18.0,76.0,1,1,1,beta,mc
113,34,54.0,41.0,1,2,2,pareto,nc
113,35,27.0,68.0,1,2,2,beta,nc
113,36,20.0,77.0,1,2,2,beta,nc
113,37,46.0,34.0,2,2,4,pareto,nmc
113,38,10.0,86.0,2,2,4,beta,nc
113,39,20.0,77.0,1,2,2,beta,mc
113,40,30.0,63.0,2,2,4,beta,nc
113,41,24.0,48.0,2,1,3,pareto,nc
113,42,40.0,56.00000000000001,1,1,0,ac,nc
