pid,gid,est_gap,est_ratio,comp_gap,comp_ratio,rel,dist,cut
58,1,19.0,78.0,1,2,2,beta,mc
58,2,21.0,71.0,1,1,1,beta,nmc
58,3,27.0,67.0,2,2,4,beta,nmc
58,4,18.0,79.0,2,2,4,beta,nc
58,5,47.0,42.0,1,2,2,pareto,nc
58,6,21.0,65.0,2,2,4,pareto,nc
58,7,59.0,30.0,1,2,2,pareto,mc
58,8,56.0,38.0,2,2,4,pareto,nc
58,9,21.0,65.0,2,2,4,pareto,nmc
58,10,24.0,48.0,2,1,3,pareto,nc
58,11,12.0,83.0,2,1,3,beta,mc
58,12,22.0,75.0,1,1,1,beta,mc
58,13,30.0,62.0,2,1,3,beta,mc
58,14,20.0,77.0,1,2,2,beta,nc
58,15,56.0,38.0,2,2,4,pareto,nmc
58,16,69.0,24.0,2,1,3,pareto,mc
58,17,22.0,75.0,1,1,1,beta,nc
58,18,24.0,48.0,2,1,3,pareto,mc
58,19,21.0,71.0,1,1,1,beta,mc
58,20,50.0,50.0,1,1,0,ac,nc
58,21,20.0,77.0,1,2,2,beta,mc
58,22,47.0,42.0,1,2,2,pareto,mc
58,23,69.0,24.0,2,1,3,pareto,nc
58,24,21.0,71.0,1,1,1,beta,nc
58,25,18.0,79.0,2,2,4,beta,nmc
58,26,49.0,44.0,1,1,1,pareto,mc
58,27,27.0,67.0,2,2,4,beta,mc
58,28,56.0,38.0,2,2,4,pareto,mc
58,29,69.0,24.0,1,1,1,pareto,mc
58,30,22.0,75.0,1,1,1,beta,nmc
58,31,49.0,44.0,1,1,1,pareto,nmc
58,32,69.0,24.0,1,1,1,pareto,nc
58,33,27.0,67.0,2,2,4,beta,nc
58,34,12.0,83.0,2,1,3,beta,nc
58,35,19.0,78.0,1,2,2,beta,nc
58,36,18.0,79.0,2,2,4,beta,mc
58,37,69.0,24.0,1,1,1,pareto,nmc
58,38,59.0,30.0,1,2,2,pareto,nc
58,39,49.0,44.0,1,1,1,pareto,nc
58,40,30.0,62.0,2,1,3,beta,nc
58,41,21.0,65.0,2,2,4,pareto,mc
58,42,40.0,56.00000000000001,1,1,0,ac,nc
