,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
0,15.0,0.75,1,1,1,beta,mono_cut
1,2.0,0.96,2,2,4,pareto,mono_cut
2,2.0,0.96,2,2,4,pareto,no_cut
3,2.0,0.96,2,2,4,pareto,non_mono_cut
4,6.0,0.9,2,2,4,beta,non_mono_cut
5,31.0,0.5,2,1,3,pareto,no_cut
6,14.0,0.75,2,1,3,beta,no_cut
7,7.0,0.88,2,2,4,pareto,mono_cut
8,15.0,0.74,1,1,1,beta,no_cut
9,15.0,0.74,1,1,1,beta,non_mono_cut
10,15.0,0.62,1,2,2,beta,mono_cut
11,15.0,0.75,1,1,1,beta,non_mono_cut
12,2.0,0.97,1,2,2,beta,mono_cut
13,44.0,0.37,1,2,2,pareto,mono_cut
14,13.0,0.71,1,2,2,pareto,mono_cut
15,15.0,0.75,1,1,1,beta,no_cut
16,50.0,0.5,1,1,0,ac,no_cut
17,16.0,0.58,1,1,1,pareto,non_mono_cut
18,2.0,0.92,1,1,1,pareto,non_mono_cut
19,51.0,0.32,2,1,3,pareto,no_cut
20,6.0,0.9,2,2,4,beta,mono_cut
21,7.0,0.88,2,2,4,pareto,non_mono_cut
22,2.0,0.97,1,2,2,beta,no_cut
23,6.0,0.89,2,1,3,beta,mono_cut
24,15.0,0.62,1,2,2,beta,no_cut
25,44.0,0.37,1,2,2,pareto,no_cut
26,2.0,0.92,1,1,1,pareto,no_cut
27,2.0,0.92,1,1,1,pareto,mono_cut
28,16.0,0.58,1,1,1,pareto,no_cut
29,15.0,0.74,1,1,1,beta,mono_cut
30,5.0,0.84,2,2,4,beta,mono_cut
31,7.0,0.88,2,2,4,pareto,no_cut
32,6.0,0.89,2,1,3,beta,no_cut
33,51.0,0.32,2,1,3,pareto,mono_cut
34,5.0,0.84,2,2,4,beta,non_mono_cut
35,40.0,0.56,1,1,0,ac,no_cut
36,13.0,0.71,1,2,2,pareto,no_cut
37,6.0,0.9,2,2,4,beta,no_cut
38,31.0,0.5,2,1,3,pareto,mono_cut
39,16.0,0.58,1,1,1,pareto,mono_cut
40,5.0,0.84,2,2,4,beta,no_cut
41,14.0,0.75,2,1,3,beta,mono_cut
