est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
15.0,0.75,1,1,1,beta,mono_cut
2.0,0.96,2,2,4,pareto,mono_cut
2.0,0.96,2,2,4,pareto,no_cut
2.0,0.96,2,2,4,pareto,non_mono_cut
6.0,0.9,2,2,4,beta,non_mono_cut
31.0,0.5,2,1,3,pareto,no_cut
14.0,0.75,2,1,3,beta,no_cut
7.0,0.88,2,2,4,pareto,mono_cut
15.0,0.74,1,1,1,beta,no_cut
15.0,0.74,1,1,1,beta,non_mono_cut
15.0,0.62,1,2,2,beta,mono_cut
15.0,0.75,1,1,1,beta,non_mono_cut
2.0,0.97,1,2,2,beta,mono_cut
44.0,0.37,1,2,2,pareto,mono_cut
13.0,0.71,1,2,2,pareto,mono_cut
15.0,0.75,1,1,1,beta,no_cut
50.0,0.5,1,1,0,ac,no_cut
16.0,0.58,1,1,1,pareto,non_mono_cut
2.0,0.92,1,1,1,pareto,non_mono_cut
51.0,0.32,2,1,3,pareto,no_cut
6.0,0.9,2,2,4,beta,mono_cut
7.0,0.88,2,2,4,pareto,non_mono_cut
2.0,0.97,1,2,2,beta,no_cut
6.0,0.89,2,1,3,beta,mono_cut
15.0,0.62,1,2,2,beta,no_cut
44.0,0.37,1,2,2,pareto,no_cut
2.0,0.92,1,1,1,pareto,no_cut
2.0,0.92,1,1,1,pareto,mono_cut
16.0,0.58,1,1,1,pareto,no_cut
15.0,0.74,1,1,1,beta,mono_cut
5.0,0.84,2,2,4,beta,mono_cut
7.0,0.88,2,2,4,pareto,no_cut
6.0,0.89,2,1,3,beta,no_cut
51.0,0.32,2,1,3,pareto,mono_cut
5.0,0.84,2,2,4,beta,non_mono_cut
40.0,0.56,1,1,0,ac,no_cut
13.0,0.71,1,2,2,pareto,no_cut
6.0,0.9,2,2,4,beta,no_cut
31.0,0.5,2,1,3,pareto,mono_cut
16.0,0.58,1,1,1,pareto,mono_cut
5.0,0.84,2,2,4,beta,no_cut
14.0,0.75,2,1,3,beta,mono_cut
