est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
34.0,0.47,2,1,3,beta,no_cut
34.0,0.47,2,1,3,beta,mono_cut
14.0,0.6,1,2,2,pareto,no_cut
26.0,0.57,2,1,3,pareto,no_cut
21.0,0.66,1,1,1,pareto,non_mono_cut
1.0,0.95,2,2,4,pareto,non_mono_cut
21.0,0.71,2,2,4,beta,no_cut
4.0,0.89,2,2,4,pareto,mono_cut
14.0,0.6,1,2,2,pareto,mono_cut
11.0,0.76,1,2,2,beta,mono_cut
39.0,0.37,2,1,3,pareto,no_cut
3.0,0.87,1,2,2,pareto,no_cut
9.0,0.88,1,1,1,beta,no_cut
14.0,0.75,1,1,1,beta,mono_cut
50.0,0.5,1,1,0,ac,no_cut
4.0,0.89,2,2,4,pareto,non_mono_cut
21.0,0.66,1,1,1,pareto,mono_cut
26.0,0.57,2,1,3,pareto,mono_cut
26.0,0.65,2,1,3,beta,mono_cut
21.0,0.71,2,2,4,beta,mono_cut
14.0,0.75,1,1,1,beta,no_cut
9.0,0.88,1,1,1,beta,mono_cut
3.0,0.87,1,2,2,pareto,mono_cut
39.0,0.37,2,1,3,pareto,mono_cut
10.0,0.84,1,2,2,beta,mono_cut
1.0,0.95,2,2,4,pareto,mono_cut
40.0,0.56,1,1,0,ac,no_cut
11.0,0.75,1,1,1,pareto,non_mono_cut
4.0,0.89,2,2,4,pareto,no_cut
16.0,0.72,2,2,4,beta,mono_cut
14.0,0.75,1,1,1,beta,non_mono_cut
21.0,0.66,1,1,1,pareto,no_cut
10.0,0.84,1,2,2,beta,no_cut
9.0,0.88,1,1,1,beta,non_mono_cut
11.0,0.75,1,1,1,pareto,mono_cut
16.0,0.72,2,2,4,beta,no_cut
11.0,0.75,1,1,1,pareto,no_cut
21.0,0.71,2,2,4,beta,non_mono_cut
11.0,0.76,1,2,2,beta,no_cut
16.0,0.72,2,2,4,beta,non_mono_cut
26.0,0.65,2,1,3,beta,no_cut
1.0,0.95,2,2,4,pareto,no_cut
