,est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
0,8.0,0.79,2,2,4,beta,non_mono_cut
1,3.0,0.88,1,2,2,pareto,mono_cut
2,9.0,0.86,2,1,3,beta,mono_cut
3,11.0,0.82,1,1,1,beta,mono_cut
4,11.0,0.8,1,1,1,beta,no_cut
5,8.0,0.78,2,1,3,beta,mono_cut
6,31.0,0.52,1,2,2,beta,no_cut
7,50.0,0.5,1,1,0,ac,no_cut
8,17.0,0.74,1,2,2,beta,mono_cut
9,11.0,0.82,1,1,1,beta,non_mono_cut
10,11.0,0.8,1,1,1,beta,mono_cut
11,4.0,0.85,2,2,4,pareto,no_cut
12,10.0,0.71,1,1,1,pareto,non_mono_cut
13,17.0,0.74,1,2,2,beta,no_cut
14,53.0,0.38,1,1,1,pareto,no_cut
15,8.0,0.78,2,1,3,beta,no_cut
16,21.0,0.6,2,2,4,beta,non_mono_cut
17,5.0,0.91,1,2,2,pareto,mono_cut
18,15.0,0.57,2,2,4,pareto,non_mono_cut
19,53.0,0.38,1,1,1,pareto,non_mono_cut
20,42.0,0.44,2,1,3,pareto,no_cut
21,21.0,0.6,2,2,4,beta,mono_cut
22,1.0,0.96,2,1,3,pareto,no_cut
23,3.0,0.88,1,2,2,pareto,no_cut
24,10.0,0.71,1,1,1,pareto,mono_cut
25,53.0,0.38,1,1,1,pareto,mono_cut
26,11.0,0.8,1,1,1,beta,non_mono_cut
27,5.0,0.91,1,2,2,pareto,no_cut
28,15.0,0.57,2,2,4,pareto,no_cut
29,31.0,0.52,1,2,2,beta,mono_cut
30,10.0,0.71,1,1,1,pareto,no_cut
31,42.0,0.44,2,1,3,pareto,mono_cut
32,4.0,0.85,2,2,4,pareto,mono_cut
33,11.0,0.82,1,1,1,beta,no_cut
34,1.0,0.96,2,1,3,pareto,mono_cut
35,8.0,0.79,2,2,4,beta,mono_cut
36,9.0,0.86,2,1,3,beta,no_cut
37,4.0,0.85,2,2,4,pareto,non_mono_cut
38,21.0,0.6,2,2,4,beta,no_cut
39,40.0,0.56,1,1,0,ac,no_cut
40,8.0,0.79,2,2,4,beta,no_cut
41,15.0,0.57,2,2,4,pareto,mono_cut
